"","prim_state","area","area_name","occ_code1","occ_code2","occ_title","occ_group","tot_emp","emp_prse","jobs_1000","loc_quotient","h_mean","a_mean","mean_prse","h_pct10","h_pct25","h_median","h_pct75","h_pct90","a_pct10","a_pct25","a_median","a_pct75","a_pct90","annual","hourly","quartilespread","industry"
"436","CO","19740","Denver-Aurora-Lakewood, CO","43","5021","Couriers and Messengers",NA,920,27.3,0.64,1.19,15.27,31760,6.7,10.26,11.91,14.39,17.5,22.26,21340,24780,29920,36410,46300,NA,NA,11630,"Office and Administrative Support Occupations"
"437","CO","19740","Denver-Aurora-Lakewood, CO","43","5031","Police, Fire, and Ambulance Dispatchers",NA,690,1.9,0.475,0.71,24.98,51970,1.3,19.45,21.95,24.88,28.67,31.13,40450,45650,51760,59620,64760,NA,NA,13970,"Office and Administrative Support Occupations"
"438","CO","19740","Denver-Aurora-Lakewood, CO","43","5032","Dispatchers, Except Police, Fire, and Ambulance",NA,1790,9.2,1.243,0.89,21.73,45190,2.8,13.59,16.24,20.89,26.16,31.03,28270,33770,43460,54420,64550,NA,NA,20650,"Office and Administrative Support Occupations"
"439","CO","19740","Denver-Aurora-Lakewood, CO","43","5041","Meter Readers, Utilities",NA,NA,NA,NA,NA,27.18,56530,4.4,18.08,24.43,27.32,30.1,35.73,37610,50820,56830,62610,74320,NA,NA,11790,"Office and Administrative Support Occupations"
"440","CO","19740","Denver-Aurora-Lakewood, CO","43","5051","Postal Service Clerks",NA,530,0,0.37,0.64,25.35,52720,1.9,19.03,20.4,28.15,28.16,28.74,39580,42430,58560,58570,59780,NA,NA,16140,"Office and Administrative Support Occupations"
"441","CO","19740","Denver-Aurora-Lakewood, CO","43","5052","Postal Service Mail Carriers",NA,2730,0,1.888,0.8,23.98,49870,1.5,16.07,17.7,28.4,28.78,29.16,33420,36810,59070,59860,60660,NA,NA,23050,"Office and Administrative Support Occupations"
"442","CO","19740","Denver-Aurora-Lakewood, CO","43","5053","Postal Service Mail Sorters, Processors, and Processing Machine Operators",NA,1860,0,1.287,1.64,23.94,49800,2.8,16.49,17.19,27.52,28.15,28.16,34300,35750,57250,58560,58570,NA,NA,22810,"Office and Administrative Support Occupations"
"443","CO","19740","Denver-Aurora-Lakewood, CO","43","5061","Production, Planning, and Expediting Clerks",NA,1490,5.9,1.033,0.44,25.65,53360,1.7,15.63,19.8,25.47,30.15,36.24,32510,41190,52990,62700,75370,NA,NA,21510,"Office and Administrative Support Occupations"
"444","CO","19740","Denver-Aurora-Lakewood, CO","43","5071","Shipping, Receiving, and Traffic Clerks",NA,5870,7.7,4.069,0.86,16.31,33920,1.5,10.62,12.77,15.12,19.11,23.78,22080,26560,31440,39740,49460,NA,NA,13180,"Office and Administrative Support Occupations"
"445","CO","19740","Denver-Aurora-Lakewood, CO","43","5081","Stock Clerks and Order Fillers",NA,17950,3.1,12.436,0.87,14.41,29980,1.2,9.75,10.8,12.86,17,21.45,20290,22460,26760,35370,44610,NA,NA,12910,"Office and Administrative Support Occupations"
"446","CO","19740","Denver-Aurora-Lakewood, CO","43","5111","Weighers, Measurers, Checkers, and Samplers, Recordkeeping",NA,500,15.5,0.349,0.69,15.21,31630,5.7,10.11,11.05,13.44,17.66,23.19,21030,22990,27960,36730,48230,NA,NA,13740,"Office and Administrative Support Occupations"
"447","CO","19740","Denver-Aurora-Lakewood, CO","43","6011","Executive Secretaries and Executive Administrative Assistants",NA,6760,4.3,4.682,1.12,27.1,56370,1.2,18.91,21.69,26.04,31.4,37.69,39330,45120,54160,65300,78400,NA,NA,20180,"Office and Administrative Support Occupations"
"448","CO","19740","Denver-Aurora-Lakewood, CO","43","6012","Legal Secretaries",NA,2120,11.3,1.471,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Office and Administrative Support Occupations"
"449","CO","19740","Denver-Aurora-Lakewood, CO","43","6013","Medical Secretaries",NA,3570,9.9,2.476,0.61,19.4,40350,2.2,14.11,16.15,18.72,22.56,25.3,29350,33600,38940,46930,52630,NA,NA,13330,"Office and Administrative Support Occupations"
"450","CO","19740","Denver-Aurora-Lakewood, CO","43","6014","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",NA,21600,3.5,14.966,0.95,19.07,39660,0.8,12.2,15.13,18.4,22.9,27.47,25380,31460,38270,47630,57140,NA,NA,16170,"Office and Administrative Support Occupations"
"451","CO","19740","Denver-Aurora-Lakewood, CO","43","9011","Computer Operators",NA,240,19.8,0.164,0.58,26.62,55360,7.3,15.75,19.28,23.87,32.82,42.84,32750,40100,49660,68280,89100,NA,NA,28180,"Office and Administrative Support Occupations"
"452","CO","19740","Denver-Aurora-Lakewood, CO","43","9021","Data Entry Keyers",NA,1620,9.1,1.125,0.89,17.06,35480,2.5,11.11,13.85,16.84,19.57,24.04,23110,28810,35020,40700,50000,NA,NA,11890,"Office and Administrative Support Occupations"
"453","CO","19740","Denver-Aurora-Lakewood, CO","43","9022","Word Processors and Typists",NA,210,32.7,0.143,0.31,17.15,35670,8.2,10.42,11.81,17.32,21.62,24.61,21670,24570,36020,44960,51180,NA,NA,20390,"Office and Administrative Support Occupations"
"454","CO","19740","Denver-Aurora-Lakewood, CO","43","9031","Desktop Publishers",NA,90,45.8,0.063,0.75,28.44,59150,10.1,20.74,22.49,25.46,34.94,40.2,43150,46770,52960,72680,83610,NA,NA,25910,"Office and Administrative Support Occupations"
"455","CO","19740","Denver-Aurora-Lakewood, CO","43","9041","Insurance Claims and Policy Processing Clerks",NA,1870,13.6,1.297,0.67,24.54,51030,4,16.65,19.84,23.32,29.32,35.38,34630,41270,48500,60980,73590,NA,NA,19710,"Office and Administrative Support Occupations"
"456","CO","19740","Denver-Aurora-Lakewood, CO","43","9051","Mail Clerks and Mail Machine Operators, Except Postal Service",NA,840,10,0.579,0.96,17.5,36400,5.2,11.22,13.28,16.1,20.55,27.42,23330,27620,33480,42750,57020,NA,NA,15130,"Office and Administrative Support Occupations"
"457","CO","19740","Denver-Aurora-Lakewood, CO","43","9061","Office Clerks, General",NA,23200,4.1,16.076,0.77,19.71,41000,1.4,11.25,14.24,18.37,23.85,30.26,23410,29620,38200,49610,62930,NA,NA,19990,"Office and Administrative Support Occupations"
"458","CO","19740","Denver-Aurora-Lakewood, CO","43","9071","Office Machine Operators, Except Computer",NA,550,21,0.379,0.98,18.1,37650,3.1,12.84,15.11,17.42,19.74,24.98,26710,31420,36240,41060,51970,NA,NA,9640,"Office and Administrative Support Occupations"
"459","CO","19740","Denver-Aurora-Lakewood, CO","43","9081","Proofreaders and Copy Markers",NA,50,17.5,0.037,0.47,19.97,41540,5,9.64,16.25,18.33,22.36,30.38,20040,33800,38120,46510,63200,NA,NA,12710,"Office and Administrative Support Occupations"
"460","CO","19740","Denver-Aurora-Lakewood, CO","43","9111","Statistical Assistants",NA,110,34.2,0.073,1.03,18.13,37700,10.8,9.53,10,15.86,26.82,29.62,19830,20810,32990,55800,61610,NA,NA,34990,"Office and Administrative Support Occupations"
"461","CO","19740","Denver-Aurora-Lakewood, CO","43","9199","Office and Administrative Support Workers, All Other",NA,1220,7,0.843,0.57,17.3,35990,2.8,10.22,11.81,16.51,20.71,25.43,21250,24550,34330,43070,52890,NA,NA,18520,"Office and Administrative Support Occupations"
"462","CO","19740","Denver-Aurora-Lakewood, CO","45","1011","First-Line Supervisors of Farming, Fishing, and Forestry Workers",NA,130,36.1,0.087,0.6,24.19,50320,6.3,17.01,20.38,23.06,28.17,35.06,35370,42380,47970,58590,72930,NA,NA,16210,"Farming, Fishing, and Forestry Occupations"
"463","CO","19740","Denver-Aurora-Lakewood, CO","45","2092","Farmworkers and Laborers, Crop, Nursery, and Greenhouse",NA,1630,19,1.131,0.57,13.6,28290,3.7,9.48,10.5,13.2,15.96,18.24,19720,21830,27460,33200,37930,NA,NA,11370,"Farming, Fishing, and Forestry Occupations"
"464","CO","19740","Denver-Aurora-Lakewood, CO","45","2093","Farmworkers, Farm, Ranch, and Aquacultural Animals",NA,210,34.4,0.146,0.59,17.04,35440,10,10.27,12.03,15.71,19,27.39,21370,25020,32680,39510,56980,NA,NA,14490,"Farming, Fishing, and Forestry Occupations"
"465","CO","19740","Denver-Aurora-Lakewood, CO","47","1011","First-Line Supervisors of Construction Trades and Extraction Workers",NA,7920,6.5,5.488,1.41,35.09,72980,2,21.65,26.9,32.51,40.25,50.21,45030,55950,67620,83720,104440,NA,NA,27770,"Construction and Extraction Occupations"
"466","CO","19740","Denver-Aurora-Lakewood, CO","47","2021","Brickmasons and Blockmasons",NA,860,27.8,0.595,1.31,25.55,53150,2.5,18.21,22.94,26.8,29.21,30.69,37870,47710,55740,60750,63830,NA,NA,13040,"Construction and Extraction Occupations"
"467","CO","19740","Denver-Aurora-Lakewood, CO","47","2022","Stonemasons",NA,NA,NA,NA,NA,14.67,30520,12.3,10.35,11.21,13.17,17.74,21.16,21520,23310,27400,36890,44020,NA,NA,13580,"Construction and Extraction Occupations"
"468","CO","19740","Denver-Aurora-Lakewood, CO","47","2031","Carpenters",NA,6960,9.5,4.826,0.99,22.13,46030,2.7,11.84,16.55,22.23,27.75,31.06,24630,34430,46240,57730,64610,NA,NA,23300,"Construction and Extraction Occupations"
"469","CO","19740","Denver-Aurora-Lakewood, CO","47","2041","Carpet Installers",NA,NA,NA,NA,NA,20.78,43220,10.1,13.31,19.37,21.47,23.55,27.12,27690,40280,44660,48980,56420,NA,NA,8700,"Construction and Extraction Occupations"
"470","CO","19740","Denver-Aurora-Lakewood, CO","47","2044","Tile and Marble Setters",NA,NA,NA,NA,NA,20.85,43360,11,10.84,16.26,19.65,25.35,30.18,22540,33820,40880,52730,62770,NA,NA,18910,"Construction and Extraction Occupations"
"471","CO","19740","Denver-Aurora-Lakewood, CO","47","2051","Cement Masons and Concrete Finishers",NA,3030,12.2,2.1,1.68,20.71,43080,3.8,13.49,16.07,20.82,24.43,28.76,28060,33420,43310,50820,59830,NA,NA,17400,"Construction and Extraction Occupations"
"472","CO","19740","Denver-Aurora-Lakewood, CO","47","2061","Construction Laborers",NA,10860,6.4,7.525,1.12,17.32,36030,2.1,10.58,13.9,17.09,19.81,23.78,22010,28920,35540,41200,49450,NA,NA,12280,"Construction and Extraction Occupations"
"473","CO","19740","Denver-Aurora-Lakewood, CO","47","2071","Paving, Surfacing, and Tamping Equipment Operators",NA,990,37.5,0.689,1.97,20.08,41770,2.7,16.13,17.37,19.42,22.69,25.65,33540,36130,40400,47200,53350,NA,NA,11070,"Construction and Extraction Occupations"
"474","CO","19740","Denver-Aurora-Lakewood, CO","47","2073","Operating Engineers and Other Construction Equipment Operators",NA,4190,7.9,2.904,1.13,24.81,51600,1.6,17.8,21.03,24.68,28.68,31.54,37020,43750,51340,59650,65600,NA,NA,15900,"Construction and Extraction Occupations"
"475","CO","19740","Denver-Aurora-Lakewood, CO","47","2081","Drywall and Ceiling Tile Installers",NA,2150,13.6,1.493,2.2,21.93,45600,2,16.42,19.8,21.99,24.18,27.66,34150,41180,45750,50300,57530,NA,NA,9120,"Construction and Extraction Occupations"
"476","CO","19740","Denver-Aurora-Lakewood, CO","47","2082","Tapers",NA,320,24.5,0.224,1.76,24.88,51740,5.4,14.97,18.43,23.03,29.79,39.47,31140,38340,47900,61960,82100,NA,NA,23620,"Construction and Extraction Occupations"
"477","CO","19740","Denver-Aurora-Lakewood, CO","47","2111","Electricians",NA,9020,10.5,6.249,1.41,25.13,52260,2.4,15.01,18.36,24.18,30.77,36.7,31220,38190,50280,64010,76330,NA,NA,25820,"Construction and Extraction Occupations"
"478","CO","19740","Denver-Aurora-Lakewood, CO","47","2121","Glaziers",NA,670,38,0.462,1.39,22.01,45780,5.9,13.87,16.66,21.25,27.48,31,28860,34640,44190,57170,64470,NA,NA,22530,"Construction and Extraction Occupations"
"479","CO","19740","Denver-Aurora-Lakewood, CO","47","2131","Insulation Workers, Floor, Ceiling, and Wall",NA,NA,NA,NA,NA,17.02,35400,3.3,12.49,15.36,16.95,18.54,21.66,25980,31960,35260,38560,45040,NA,NA,6600,"Construction and Extraction Occupations"
"480","CO","19740","Denver-Aurora-Lakewood, CO","47","2132","Insulation Workers, Mechanical",NA,460,43,0.319,1.83,19.5,40570,3.1,15.76,17.38,19.49,21.91,23.59,32780,36160,40530,45580,49070,NA,NA,9420,"Construction and Extraction Occupations"
"481","CO","19740","Denver-Aurora-Lakewood, CO","47","2141","Painters, Construction and Maintenance",NA,2180,14.7,1.513,0.97,20.15,41900,3.6,15.35,16.95,20.02,23.16,25.45,31920,35260,41640,48180,52930,NA,NA,12920,"Construction and Extraction Occupations"
"482","CO","19740","Denver-Aurora-Lakewood, CO","47","2142","Paperhangers",NA,NA,NA,NA,NA,26.9,55950,5.2,23.6,25.49,27.34,29.19,30.31,49080,53010,56860,60720,63040,NA,NA,7710,"Construction and Extraction Occupations"
"483","CO","19740","Denver-Aurora-Lakewood, CO","47","2151","Pipelayers",NA,570,18.4,0.394,1.45,23.25,48360,4.4,16.17,17.85,21,26.78,34.71,33640,37120,43680,55700,72190,NA,NA,18580,"Construction and Extraction Occupations"
"484","CO","19740","Denver-Aurora-Lakewood, CO","47","2152","Plumbers, Pipefitters, and Steamfitters",NA,4590,16.7,3.182,1.06,26.05,54190,2.9,16.44,20.37,25.62,30.86,37.01,34200,42380,53290,64190,76980,NA,NA,21810,"Construction and Extraction Occupations"
"485","CO","19740","Denver-Aurora-Lakewood, CO","47","2161","Plasterers and Stucco Masons",NA,NA,NA,NA,NA,16.11,33510,3.6,11.03,15.46,16.95,18.44,19.32,22940,32150,35250,38350,40190,NA,NA,6200,"Construction and Extraction Occupations"
"486","CO","19740","Denver-Aurora-Lakewood, CO","47","2171","Reinforcing Iron and Rebar Workers",NA,NA,NA,NA,NA,23.32,48510,8,16.96,19.49,23.65,27.27,29.55,35280,40550,49180,56730,61470,NA,NA,16180,"Construction and Extraction Occupations"
"487","CO","19740","Denver-Aurora-Lakewood, CO","47","2181","Roofers",NA,1600,22.2,1.108,1.3,19.83,41240,5.2,13.57,15.37,19.16,24.32,27.93,28220,31960,39850,50580,58090,NA,NA,18620,"Construction and Extraction Occupations"
"488","CO","19740","Denver-Aurora-Lakewood, CO","47","2211","Sheet Metal Workers",NA,2170,18.3,1.506,1.62,23,47850,5.6,14.86,17.43,22.09,27.37,32.9,30920,36250,45940,56920,68430,NA,NA,20670,"Construction and Extraction Occupations"
"489","CO","19740","Denver-Aurora-Lakewood, CO","47","2221","Structural Iron and Steel Workers",NA,1070,14.8,0.744,1.43,22.72,47270,3.7,16.11,18.65,22.15,26.66,30.03,33520,38790,46080,55460,62470,NA,NA,16670,"Construction and Extraction Occupations"
"490","CO","19740","Denver-Aurora-Lakewood, CO","47","3012","Helpers--Carpenters",NA,150,44.1,0.104,0.44,15.62,32480,4.7,13.02,14.26,15.77,17.39,18.37,27070,29660,32800,36180,38200,NA,NA,6520,"Construction and Extraction Occupations"
"491","CO","19740","Denver-Aurora-Lakewood, CO","47","3013","Helpers--Electricians",NA,NA,NA,NA,NA,17.81,37040,5.1,12.35,14.37,17.71,21.27,23.74,25690,29890,36840,44250,49370,NA,NA,14360,"Construction and Extraction Occupations"
"492","CO","19740","Denver-Aurora-Lakewood, CO","47","3015","Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",NA,NA,NA,NA,NA,14.48,30110,7.6,9.37,12.34,13.5,14.65,17.74,19490,25670,28070,30470,36890,NA,NA,4800,"Construction and Extraction Occupations"
"493","CO","19740","Denver-Aurora-Lakewood, CO","47","3019","Helpers, Construction Trades, All Other",NA,NA,NA,NA,NA,18.53,38540,20,12.62,13.67,16.56,23.35,27.69,26250,28440,34440,48560,57590,NA,NA,20120,"Construction and Extraction Occupations"
"494","CO","19740","Denver-Aurora-Lakewood, CO","47","4011","Construction and Building Inspectors",NA,1230,21.1,0.852,1.23,30.06,62530,4.5,17.45,22.22,29.37,37.06,44.98,36290,46210,61100,77090,93560,NA,NA,30880,"Construction and Extraction Occupations"
"495","CO","19740","Denver-Aurora-Lakewood, CO","47","4021","Elevator Installers and Repairers",NA,430,42.3,0.295,1.72,37.87,78770,3.4,22.13,29,41.63,46.91,50.29,46040,60320,86600,97570,104600,NA,NA,37250,"Construction and Extraction Occupations"
"496","CO","19740","Denver-Aurora-Lakewood, CO","47","4031","Fence Erectors",NA,210,45.8,0.145,0.96,16.17,33640,7.6,12.26,13.29,14.97,17.69,20.8,25500,27640,31130,36790,43250,NA,NA,9150,"Construction and Extraction Occupations"
"497","CO","19740","Denver-Aurora-Lakewood, CO","47","4041","Hazardous Materials Removal Workers",NA,890,16.5,0.62,2.04,20.24,42090,4.7,14.85,17.23,20.3,23.19,25.46,30890,35840,42230,48230,52960,NA,NA,12390,"Construction and Extraction Occupations"
"498","CO","19740","Denver-Aurora-Lakewood, CO","47","4051","Highway Maintenance Workers",NA,830,1.7,0.574,0.56,21.15,44000,1.1,16.44,18.27,21.26,23.09,26.17,34200,38010,44220,48020,54430,NA,NA,10010,"Construction and Extraction Occupations"
"499","CO","19740","Denver-Aurora-Lakewood, CO","47","4071","Septic Tank Servicers and Sewer Pipe Cleaners",NA,NA,NA,NA,NA,27.31,56810,6.2,18.72,22.07,26.7,30.98,38.38,38930,45900,55540,64430,79820,NA,NA,18530,"Construction and Extraction Occupations"
"500","CO","19740","Denver-Aurora-Lakewood, CO","47","4090","Miscellaneous Construction and Related Workers",NA,770,35.6,0.533,2.19,19.57,40710,4.1,13.28,16.08,18.85,23.23,27.74,27620,33450,39210,48310,57700,NA,NA,14860,"Construction and Extraction Occupations"
"501","CO","19740","Denver-Aurora-Lakewood, CO","47","5012","Rotary Drill Operators, Oil and Gas",NA,NA,NA,NA,NA,30.64,63740,5.4,20.95,26.51,31.46,36.12,38.89,43570,55150,65430,75130,80880,NA,NA,19980,"Construction and Extraction Occupations"
"502","CO","19740","Denver-Aurora-Lakewood, CO","47","5021","Earth Drillers, Except Oil and Gas",NA,NA,NA,NA,NA,21.9,45560,4.8,17.98,20.04,21.87,23.71,26.58,37400,41680,45490,49310,55280,NA,NA,7630,"Construction and Extraction Occupations"
"503","CO","19740","Denver-Aurora-Lakewood, CO","47","5071","Roustabouts, Oil and Gas",NA,450,45,0.31,0.92,23.87,49640,8.3,16.02,18.03,24.08,29.2,32.19,33320,37490,50100,60740,66950,NA,NA,23250,"Construction and Extraction Occupations"
"504","CO","19740","Denver-Aurora-Lakewood, CO","47","5081","Helpers--Extraction Workers",NA,NA,NA,NA,NA,17.05,35470,5.6,14.91,15.67,16.88,18.08,19.18,31020,32590,35100,37610,39900,NA,NA,5020,"Construction and Extraction Occupations"
"505","CO","19740","Denver-Aurora-Lakewood, CO","49","1011","First-Line Supervisors of Mechanics, Installers, and Repairers",NA,4100,4.8,2.844,0.88,35.25,73330,1.8,21.19,26.9,34.39,41.87,49.36,44070,55960,71540,87100,102660,NA,NA,31140,"Installation, Maintenance, and Repair Occupations"
"506","CO","19740","Denver-Aurora-Lakewood, CO","49","2011","Computer, Automated Teller, and Office Machine Repairers",NA,710,19.7,0.494,0.7,20.67,43000,3.5,12.93,15.4,19.2,24.77,30.92,26890,32020,39930,51530,64310,NA,NA,19510,"Installation, Maintenance, and Repair Occupations"
"507","CO","19740","Denver-Aurora-Lakewood, CO","49","2021","Radio, Cellular, and Tower Equipment Installers and Repairers",NA,NA,NA,NA,NA,29.23,60790,4.8,19.9,24.31,30.67,34.96,37.79,41380,50570,63800,72710,78610,NA,NA,22140,"Installation, Maintenance, and Repair Occupations"
"508","CO","19740","Denver-Aurora-Lakewood, CO","49","2022","Telecommunications Equipment Installers and Repairers, Except Line Installers",NA,3510,14.9,2.43,1.48,31.34,65190,2.6,20.99,26.56,32.58,36.71,39.48,43650,55250,67760,76350,82120,NA,NA,21100,"Installation, Maintenance, and Repair Occupations"
"509","CO","19740","Denver-Aurora-Lakewood, CO","49","2091","Avionics Technicians",NA,300,41.3,0.211,1.62,25.97,54010,13.1,11.19,17.34,26.28,34.86,38.88,23280,36060,54660,72510,80860,NA,NA,36450,"Installation, Maintenance, and Repair Occupations"
"510","CO","19740","Denver-Aurora-Lakewood, CO","49","2092","Electric Motor, Power Tool, and Related Repairers",NA,NA,NA,NA,NA,23.93,49780,2.9,17.5,20.54,23.46,27.11,30.55,36410,42720,48800,56380,63540,NA,NA,13660,"Installation, Maintenance, and Repair Occupations"
"511","CO","19740","Denver-Aurora-Lakewood, CO","49","2094","Electrical and Electronics Repairers, Commercial and Industrial Equipment",NA,810,9.8,0.559,1.24,27.77,57760,3.9,17.05,20.88,27.02,34.01,40.09,35450,43430,56210,70750,83380,NA,NA,27320,"Installation, Maintenance, and Repair Occupations"
"512","CO","19740","Denver-Aurora-Lakewood, CO","49","2095","Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",NA,80,21.9,0.059,0.34,42.5,88400,4.3,34.58,40.77,43.92,47.08,48.97,71930,84800,91360,97920,101850,NA,NA,13120,"Installation, Maintenance, and Repair Occupations"
"513","CO","19740","Denver-Aurora-Lakewood, CO","49","2096","Electronic Equipment Installers and Repairers, Motor Vehicles",NA,NA,NA,NA,NA,16.67,34680,10.7,12.54,13.33,14.64,21.08,23.57,26090,27730,30460,43840,49030,NA,NA,16110,"Installation, Maintenance, and Repair Occupations"
"514","CO","19740","Denver-Aurora-Lakewood, CO","49","2097","Electronic Home Entertainment Equipment Installers and Repairers",NA,480,36.1,0.335,1.85,24.03,49990,5.9,16.8,19.41,23.44,27.91,33.06,34940,40370,48750,58050,68760,NA,NA,17680,"Installation, Maintenance, and Repair Occupations"
"515","CO","19740","Denver-Aurora-Lakewood, CO","49","2098","Security and Fire Alarm Systems Installers",NA,780,18.1,0.541,1.1,27.73,57680,2.1,18.22,24.34,27.69,31.09,37.24,37900,50620,57600,64680,77460,NA,NA,14060,"Installation, Maintenance, and Repair Occupations"
"516","CO","19740","Denver-Aurora-Lakewood, CO","49","3011","Aircraft Mechanics and Service Technicians",NA,1070,15.6,0.743,0.81,34.95,72700,4.4,20.79,28.21,35.16,41.59,48.42,43250,58680,73130,86500,100720,NA,NA,27820,"Installation, Maintenance, and Repair Occupations"
"517","CO","19740","Denver-Aurora-Lakewood, CO","49","3021","Automotive Body and Related Repairers",NA,1890,11.2,1.313,1.3,24.61,51190,4.5,13.29,17.05,22.48,29.88,39.84,27640,35470,46750,62150,82860,NA,NA,26680,"Installation, Maintenance, and Repair Occupations"
"518","CO","19740","Denver-Aurora-Lakewood, CO","49","3022","Automotive Glass Installers and Repairers",NA,NA,NA,NA,NA,16.88,35110,5,14.09,15.85,17.15,18.45,19.23,29310,32970,35680,38380,40000,NA,NA,5410,"Installation, Maintenance, and Repair Occupations"
"519","CO","19740","Denver-Aurora-Lakewood, CO","49","3023","Automotive Service Technicians and Mechanics",NA,5740,5,3.978,0.89,22.72,47260,2.6,11.24,15.43,22.07,28.47,34.45,23380,32100,45900,59230,71660,NA,NA,27130,"Installation, Maintenance, and Repair Occupations"
"520","CO","19740","Denver-Aurora-Lakewood, CO","49","3031","Bus and Truck Mechanics and Diesel Engine Specialists",NA,2410,8.6,1.671,0.92,25.81,53680,2.1,16.78,20.41,25.78,30.89,36.4,34910,42460,53630,64260,75720,NA,NA,21800,"Installation, Maintenance, and Repair Occupations"
"521","CO","19740","Denver-Aurora-Lakewood, CO","49","3041","Farm Equipment Mechanics and Service Technicians",NA,NA,NA,NA,NA,20.65,42950,10.3,15.85,17.36,19.67,23.69,28.1,32960,36110,40900,49280,58460,NA,NA,13170,"Installation, Maintenance, and Repair Occupations"
"522","CO","19740","Denver-Aurora-Lakewood, CO","49","3042","Mobile Heavy Equipment Mechanics, Except Engines",NA,1440,12.2,1.001,1.08,24.45,50850,1.9,17.04,20.36,24.26,28.79,32.19,35440,42350,50470,59880,66950,NA,NA,17530,"Installation, Maintenance, and Repair Occupations"
"523","CO","19740","Denver-Aurora-Lakewood, CO","49","3043","Rail Car Repairers",NA,130,5.2,0.093,0.55,35.28,73370,4.4,25.91,27.78,30.9,44.3,48.73,53900,57790,64270,92140,101350,NA,NA,34350,"Installation, Maintenance, and Repair Occupations"
"524","CO","19740","Denver-Aurora-Lakewood, CO","49","3051","Motorboat Mechanics and Service Technicians",NA,NA,NA,NA,NA,20.43,42500,3.2,16.15,17.49,19.87,23.21,26.26,33590,36370,41320,48280,54630,NA,NA,11910,"Installation, Maintenance, and Repair Occupations"
"525","CO","19740","Denver-Aurora-Lakewood, CO","49","3052","Motorcycle Mechanics",NA,NA,NA,NA,NA,17.98,37410,8,14.95,15.76,17.06,18.37,25.36,31100,32780,35490,38200,52740,NA,NA,5420,"Installation, Maintenance, and Repair Occupations"
"526","CO","19740","Denver-Aurora-Lakewood, CO","49","3053","Outdoor Power Equipment and Other Small Engine Mechanics",NA,230,22.2,0.157,0.71,19.56,40680,2.8,13.41,15.68,19.68,22.99,26.12,27880,32610,40920,47820,54320,NA,NA,15210,"Installation, Maintenance, and Repair Occupations"
"527","CO","19740","Denver-Aurora-Lakewood, CO","49","3091","Bicycle Repairers",NA,190,29.1,0.131,1.47,14.21,29550,2.9,12.07,12.82,13.95,15.08,17.83,25100,26670,29020,31370,37080,NA,NA,4700,"Installation, Maintenance, and Repair Occupations"
"528","CO","19740","Denver-Aurora-Lakewood, CO","49","3092","Recreational Vehicle Service Technicians",NA,NA,NA,NA,NA,20.18,41970,16.1,13.33,14.93,20.12,24.88,28.58,27730,31050,41860,51740,59450,NA,NA,20690,"Installation, Maintenance, and Repair Occupations"
"529","CO","19740","Denver-Aurora-Lakewood, CO","49","3093","Tire Repairers and Changers",NA,1490,26.9,1.033,1.28,13.55,28170,3.1,10.02,11.35,13.19,14.89,17.88,20840,23610,27430,30980,37180,NA,NA,7370,"Installation, Maintenance, and Repair Occupations"
"530","CO","19740","Denver-Aurora-Lakewood, CO","49","9011","Mechanical Door Repairers",NA,350,40.4,0.239,1.62,25.3,52630,6.9,17.64,21.31,26.45,29.39,31.15,36690,44330,55020,61130,64800,NA,NA,16800,"Installation, Maintenance, and Repair Occupations"
"531","CO","19740","Denver-Aurora-Lakewood, CO","49","9012","Control and Valve Installers and Repairers, Except Mechanical Door",NA,740,17.7,0.514,1.54,31.93,66410,4.9,19.81,23.31,30.61,41.41,46.98,41200,48490,63660,86130,97710,NA,NA,37640,"Installation, Maintenance, and Repair Occupations"
"532","CO","19740","Denver-Aurora-Lakewood, CO","49","9021","Heating, Air Conditioning, and Refrigeration Mechanics and Installers",NA,3540,15.9,2.454,1.14,28.85,60000,4.5,16.83,21.35,27.85,34.42,41.87,35000,44420,57940,71580,87080,NA,NA,27160,"Installation, Maintenance, and Repair Occupations"
"533","CO","19740","Denver-Aurora-Lakewood, CO","49","9031","Home Appliance Repairers",NA,310,25.8,0.216,0.95,23.55,48980,6.6,11.94,16.63,23.21,29.39,35.89,24840,34600,48280,61130,74640,NA,NA,26530,"Installation, Maintenance, and Repair Occupations"
"534","CO","19740","Denver-Aurora-Lakewood, CO","49","9041","Industrial Machinery Mechanics",NA,2260,15.6,1.566,0.65,28.65,59590,3.9,17.7,22.36,27.46,32.62,39.13,36820,46500,57110,67840,81400,NA,NA,21340,"Installation, Maintenance, and Repair Occupations"
"535","CO","19740","Denver-Aurora-Lakewood, CO","49","9043","Maintenance Workers, Machinery",NA,270,18.3,0.188,0.32,24.22,50370,3.8,15.68,18.3,25.38,29.15,31.68,32610,38060,52800,60640,65900,NA,NA,22580,"Installation, Maintenance, and Repair Occupations"
"536","CO","19740","Denver-Aurora-Lakewood, CO","49","9044","Millwrights",NA,200,29.5,0.142,0.49,26.36,54830,5.5,16.82,20.92,25.74,33.04,37.26,34980,43520,53550,68730,77500,NA,NA,25210,"Installation, Maintenance, and Repair Occupations"
