"","geo_id","tract","tract_num","less10","10to19","20to29","30to39","40to59","60to89","90plus","total_outside","workedhome","total","avgcommute"
"56","08001009204","Census Tract 92.04, Adams County, Colorado",9204,154,850,1093,1074,475,224,62,3932,41,3973,"30"
"57","08001009206","Census Tract 92.06, Adams County, Colorado",9206,67,278,179,280,172,114,14,1104,23,1127,"30"
"58","08001009207","Census Tract 92.07, Adams County, Colorado",9207,142,533,700,447,517,161,20,2520,81,2601,"29"
"59","08001009304","Census Tract 93.04, Adams County, Colorado",9304,250,849,649,365,442,146,67,2768,173,2941,"27"
"60","08001009306","Census Tract 93.06, Adams County, Colorado",9306,218,526,386,391,189,65,29,1804,89,1893,"24"
"61","08001009307","Census Tract 93.07, Adams County, Colorado",9307,193,558,468,361,214,121,47,1962,66,2028,"27"
"62","08001009308","Census Tract 93.08, Adams County, Colorado",9308,162,519,438,554,259,226,69,2227,52,2279,"30"
"63","08001009309","Census Tract 93.09, Adams County, Colorado",9309,76,580,461,220,360,86,38,1821,54,1875,"28"
"64","08001009310","Census Tract 93.10, Adams County, Colorado",9310,342,706,721,445,310,81,56,2661,42,2703,"24"
"65","08001009316","Census Tract 93.16, Adams County, Colorado",9316,268,570,797,603,355,342,42,2977,83,3060,"29"
"66","08001009318","Census Tract 93.18, Adams County, Colorado",9318,153,465,700,528,722,167,166,2901,0,2901,"34"
"67","08001009319","Census Tract 93.19, Adams County, Colorado",9319,40,360,300,281,166,57,32,1236,15,1251,"28"
"68","08001009320","Census Tract 93.20, Adams County, Colorado",9320,42,295,294,425,100,65,24,1245,62,1307,"28"
"69","08001009321","Census Tract 93.21, Adams County, Colorado",9321,66,470,420,308,292,116,47,1719,100,1819,"29"
"70","08001009322","Census Tract 93.22, Adams County, Colorado",9322,77,608,437,387,195,139,36,1879,79,1958,"29"
"71","08001009323","Census Tract 93.23, Adams County, Colorado",9323,225,496,426,382,318,117,33,1997,145,2142,"27"
"72","08001009325","Census Tract 93.25, Adams County, Colorado",9325,329,695,771,537,240,163,0,2735,91,2826,"24"
"73","08001009326","Census Tract 93.26, Adams County, Colorado",9326,55,310,315,259,277,45,16,1277,119,1396,"29"
"74","08001009327","Census Tract 93.27, Adams County, Colorado",9327,187,506,337,351,214,137,0,1732,88,1820,"25"
"75","08001009401","Census Tract 94.01, Adams County, Colorado",9401,83,645,806,522,267,79,73,2475,112,2587,"28"
"76","08001009406","Census Tract 94.06, Adams County, Colorado",9406,283,522,725,428,238,87,0,2283,71,2354,"23"
"77","08001009407","Census Tract 94.07, Adams County, Colorado",9407,124,749,679,418,521,110,51,2652,77,2729,"28"
"78","08001009408","Census Tract 94.08, Adams County, Colorado",9408,284,593,411,435,597,54,11,2385,192,2577,"25"
"79","08001009409","Census Tract 94.09, Adams County, Colorado",9409,119,710,564,528,372,125,22,2440,401,2841,"27"
"80","08001009410","Census Tract 94.10, Adams County, Colorado",9410,99,332,259,344,187,67,51,1339,148,1487,"30"
"81","08001009411","Census Tract 94.11, Adams County, Colorado",9411,169,452,308,376,216,32,14,1567,203,1770,"24"
"82","08001009501","Census Tract 95.01, Adams County, Colorado",9501,27,464,497,357,138,37,110,1630,38,1668,"33"
"83","08001009502","Census Tract 95.02, Adams County, Colorado",9502,101,789,449,410,137,139,36,2061,29,2090,"25"
"84","08001009553","Census Tract 95.53, Adams County, Colorado",9553,292,388,288,279,123,125,19,1514,34,1548,"25"
"85","08001009603","Census Tract 96.03, Adams County, Colorado",9603,137,1031,583,314,332,170,142,2709,45,2754,"28"
"86","08001009604","Census Tract 96.04, Adams County, Colorado",9604,246,718,538,318,208,53,19,2100,14,2114,"22"
"87","08001009606","Census Tract 96.06, Adams County, Colorado",9606,98,359,321,355,125,83,61,1402,36,1438,"30"
"88","08001009607","Census Tract 96.07, Adams County, Colorado",9607,115,807,399,633,208,114,98,2374,74,2448,"28"
"89","08001009608","Census Tract 96.08, Adams County, Colorado",9608,81,413,536,399,138,214,0,1781,120,1901,"27"
"90","08001009751","Census Tract 97.51, Adams County, Colorado",9751,121,644,406,325,171,157,99,1923,90,2013,"28"
"91","08001009752","Census Tract 97.52, Adams County, Colorado",9752,77,505,417,324,80,80,33,1516,35,1551,"27"
"92","08001015000","Census Tract 150, Adams County, Colorado",15000,91,154,289,276,128,23,103,1064,51,1115,"35"
"93","08001060000","Census Tract 600, Adams County, Colorado",60000,271,593,538,612,495,91,78,2678,277,2955,"29"
"94","08001060100","Census Tract 601, Adams County, Colorado",60100,305,772,707,795,698,156,45,3478,132,3610,"28"
"95","08001060200","Census Tract 602, Adams County, Colorado",60200,267,450,418,468,397,77,52,2129,103,2232,"28"
"96","08001061200","Census Tract 612, Adams County, Colorado",61200,27,172,210,205,178,35,39,866,65,931,"32"
