SITUS_ZIP,TOTAL_VALUE
80219-2162,192600
None,4857600
80211-1560,284300
80224-1450,295800
80219-5959,185400
80221-1213,239400
80210-5618,648900
80236-2052,272500
None,476300
80249-7135,336100
80220-2606,482300
None,100
80212-1100,500
80238-3381,549200
80237-1122,451400
80205-3837,239900
80237-2110,385800
80249-7213,285800
80210-2524,528300
80222-3823,431100
80212-2101,587700
80211-2801,349000
80219-1152,188100
80123-1986,304600
80218-3906,1671500
80231-6051,386000
80223-1524,376500
80239-5026,211200
80209-4713,1562800
80212-1631,385400
80204-3542,458800
80231-4615,366300
80236-3306,351000
80223-1532,386100
80219-5354,210200
80239-4125,221300
80236-2201,329200
80205-3967,449200
80219-5929,213800
80206-4538,860400
80239-5402,255500
80231-2671,199100
80249-6924,248600
80211-3323,626200
80219-2413,256300
80230-6904,1612900
80239-3710,226000
80206-3958,627600
80219-4452,271700
80239-4418,263300
80219-3917,253900
None,122300
80223-2622,230500
80239-5162,232600
80222-3548,313600
80210-1824,1004100
80204-3102,174400
80231-6665,231800
80218-4006,3487800
80210-1525,686700
None,200
80211-3048,682500
80239-4005,251000
80210-2226,418900
80219-4102,2372300
80219-5007,271100
None,951700
None,381600
80219-1211,190100
80123-2166,322100
80205-3822,305700
80218-2350,615900
80212-2721,310300
80219-4540,240900
80246-1015,1273300
80211-4537,577800
80239-4106,212300
80220-1711,754200
80237-1527,366800
80205-4454,472600
80219-5737,228500
80219-2111,204900
80211-2008,491100
80220-3431,316800
80238-2725,401400
80209-2215,658500
None,357300
80235-3070,905700
80223-1521,602800
80227-3833,377100
None,3874700
80223-3867,650000
80222-6752,321300
80209-4037,422800
80205-4847,343000
80222-7526,418000
80216-4131,141400
80238-3033,471600
80210-6626,1302500
80230-6485,827900
80207-1243,237100
80210-5125,441900
80212-3045,566900
80123-5105,429700
80206-3942,1046600
80224-1028,754600
80210-3113,373700
80249-8216,340200
80210-2240,747600
80123-1012,297800
80203-4031,492100
80219-4703,290600
80249-8707,346900
80210-1804,1930600
80239-5174,220500
80222-6858,329300
80212-2035,291400
80206-3512,633500
80249-6813,307700
80220-5242,790200
80239-5045,234900
80249-7601,275700
80239-7023,243200
80206-5530,1184500
80239-3716,274100
80249-7471,309000
80212-2128,409000
80209-1727,472100
None,504400
80239-6600,308400
80211-4416,453600
80247-1956,350600
80205-4355,320200
80220-2831,368700
80247-6817,543200
None,100
None,782000
80223-2020,213700
80205-4019,211900
80230-7061,598000
80205-5238,462800
80212-1155,423000
80211-2709,395200
80206-5213,738500
80247-6531,322500
80236-3017,270900
80223-1129,325100
80210-4012,384300
None,505600
80210-6356,460200
80222-6854,304100
80238-2774,563100
80218-1705,535900
80210-4940,445300
None,390700
80209-1643,1584500
80227-4149,252100
80204-1531,388700
80209-1718,539800
None,600000
80211-1816,400300
80205-4943,320300
80220-1447,780600
80238-2829,374100
80239-5177,224500
80219-4421,299600
80216-2631,63500
80219-5087,265400
80204-4414,293100
80203-4180,2028200
80210-3305,406500
None,458300
80205-4674,844600
80218-3814,788900
80219-3313,219900
None,528400
80221-1220,266500
80249-8398,363200
80207-3733,785100
80238-2546,627000
80123-2643,446500
80237-1524,328100
80210-5720,887400
80224-1244,313400
80249-6727,269700
80223-3144,2861600
80239-4266,270000
80205-5350,377000
80206-3723,688000
80203-3711,2932000
80230-6933,445400
80210-3334,392800
80249-7238,229000
80210-2749,417400
80249-7165,313200
80220-4922,2137400
80239-3817,232400
None,538000
80211-5065,444500
80211-3224,626500
80219-3029,304500
80209-4725,492600
80220-5044,778500
80238-3084,416800
80221-1206,220000
80220-2802,268600
80237-2922,470400
80223-3403,307500
80238-3889,766500
80209-4002,951000
80210-5944,527200
80210-2428,483700
80210-3407,393600
80249-8042,275000
80209-4326,500800
80221-1375,302700
80222-7528,331300
80211-1412,607500
80219-2460,167600
80249-8693,361900
80204-3201,226300
80238-2932,772400
80219-5719,234500
80227-3804,329900
None,220700
80239-3638,254300
80211-4205,537000
80219-4822,262500
80211-1613,378400
80222-7348,309700
None,894000
80219-3902,227600
80235-3124,800400
80205-4446,572200
80123-1368,347200
80212-1794,1041600
80216-2526,163400
80219-2155,249300
80206-5519,869000
None,461200
80223-3324,275200
80210-2121,1202500
80219-3722,253900
80221-1025,382200
None,275000
80239-6499,276600
80218-1517,1311300
80209-4028,418300
80231-2672,201100
80220-4444,372900
80211-2949,502800
80236-2021,308400
80210-3130,528900
80219-5324,220300
80230-7045,1761600
80211-3708,744100
80237-2922,439100
80216-6619,176100
80246-3223,327000
80210-5142,1329200
None,117500
80211-2848,513700
80227-4118,353900
80207-1506,318000
80231-2659,251100
80219-1825,255100
80223-3711,228000
80209-4427,517000
80222-3703,294700
80216-2839,185900
80211-3637,610400
None,339700
80210-6336,667800
80237-2957,424000
80210-2817,563700
80211-1657,468200
80206-3329,673300
80212-1926,381500
80239-5115,214600
None,276600
80219-5210,294700
80210-7236,387200
80219-5047,262900
80211-1913,100
80220-6010,464400
80211-3735,551300
80205-4240,178300
80249-7023,260400
80223-2755,279400
80239-7016,289900
80239-5167,226300
80227-4149,219800
80211-3102,373000
80221-1562,206700
80209-4605,770400
80239-5657,238800
80204-4717,250400
80219-2110,176400
80209-4328,438700
80205-2129,537300
80249-7243,252000
80239-3721,243500
80220-1427,578000
80210-3209,452300
80221-1237,243500
80220-2802,272100
None,721100
80211-5064,599800
80239-3332,1311000
None,100
80209-4122,471400
80222-7203,415400
80236-3354,367200
80209-4819,774500
80238-3859,507500
80237-1518,340900
80216-2916,281200
80223-1721,209500
80211-4311,835100
80220-4548,404000
80219-3424,165400
80236-3301,351600
80209-4502,1086000
80221-1500,192700
80239-5170,220500
None,66000
80209-2116,285700
80206-4048,396500
80207-2933,267000
80231-5631,347500
None,41400
None,100
80239-5873,251800
80211-3724,400500
80212-2206,425500
None,180100
80210-3245,299400
None,117200
80220-3515,265100
None,345100
80218-2305,511600
80207-4052,312300
80222-6588,34541100
80210-5115,396300
80219-1017,226700
80224-2114,350100
80204-1017,955700
None,3255700
None,107700
80219-3138,193900
80221-1378,260000
None,530200
None,100
80239-4460,260100
None,100
None,281100
80222-3425,441500
80209-4111,543200
80219-1342,273100
80220-2713,296900
80210-6116,1561400
80210-3124,331700
80226-8013,225800
80219-3939,228200
80210-4468,330000
80212-2711,187300
80230-6168,384500
None,513400
80210-6534,616500
80219-3034,336600
80223-3932,273600
80218-1819,2177500
80206-3303,576000
80210-2421,1007600
80205-2628,749600
80209-2426,479700
80212-1848,418100
80212-2209,798400
80221-1221,467100
80220-2139,213900
80207-2842,332800
80239-7020,294300
80224-1040,2776600
80212-1735,474700
80205-5515,534500
80207-2004,277900
80222-7257,462200
80239-2725,3158500
80231-3974,234700
80220-4593,506100
80223-2612,258400
80231-6039,531100
None,425700
80249-7614,302000
None,284100
80212-1128,476400
80209-3316,580000
80227-4148,252500
80238-2618,509200
80238-2828,515800
80210-2513,1406800
80223-3716,207200
80211-3994,13415300
80206-4245,621100
None,34300
None,593900
80216-2927,233500
80203-4204,462800
80219-3004,327800
80216-3819,826200
80210-4507,361900
80223-3706,195000
80223-3335,274500
80123-2641,514600
80210-5948,528100
80224-1242,394300
80227-4141,371100
80210-2932,100
80249-7268,232200
80123-1667,309000
80224-1440,242400
80209-3008,774900
None,1400
80211-4111,386800
80207-1035,184700
80223-1323,325700
80205-4722,272400
80223-1843,217600
80220-2224,252000
80221-1116,246100
80205-5144,342000
80218-3812,343000
80220-2495,512100
80210-2904,1268400
80203-3928,396500
80206-2477,1920000
80205-3833,330700
80207-3749,633700
80249-8729,472100
80236-3516,375200
None,19000
80223-3115,1277200
80231-6035,418500
80219-3648,248300
80238-3543,440900
None,1077900
None,335500
80219-1169,177500
80231-2604,394700
80219-4739,296300
80231-4733,366300
80231-4069,295000
80246-1002,701300
80204-1044,482500
80231-4060,372500
80209-2604,1055500
80210-6833,648200
80236-2036,310100
80238-3381,512200
80230-6183,373800
80237-2906,352400
80239-3746,222400
80220-1962,262200
80237-1150,606800
80209-1512,2201900
80237-1601,331500
80236-3629,354300
80222-3805,345800
80211-2705,428300
80206-1925,None
None,None
None,None
None,279400
80220-1322,5200
80211-1266,271100
80218-2318,563200
80210-2717,659000
80210-2810,531900
80205-5551,867000
80211-1257,373900
80207-2905,300500
80219-4425,280200
80237-2067,590300
80207-1505,282900
80216-6441,1671400
80207-1811,291900
None,395300
80207-2830,313500
80206-3847,857800
80207-1430,248900
80227-4141,320000
80238-3779,376100
80222-3710,366900
80224-1241,224900
80211-1349,337300
80209-4552,726700
80212-2622,319300
80207-1051,284300
80206-1818,584200
None,240700
80212-2552,487800
80204-3035,254300
80209-4404,661500
80204-4312,275900
None,451400
80207-3117,704800
80211-5094,437300
80219-4200,249900
80206-4532,647500
80239-6608,310200
80222-7314,307500
80210-4024,508300
80211-2013,450300
80239-6456,295600
80237-1746,353300
80210-4812,532700
None,1124000
80249-8395,323500
None,285700
80210-4135,288500
80206-3717,749400
80220-2409,793200
80249-6815,279500
80206-1120,596600
80210-6812,807100
80220-6074,339600
80211-2643,478000
None,377800
80231-6040,417200
80220-2512,499400
80249-6901,282100
80216-2908,216200
80205-4188,508300
80207-3624,348300
80205-3759,299700
80211-3318,428600
80209-4022,361600
80204-2827,209900
80219-1211,221900
80220-4441,514600
80219-4422,235200
80227-4126,382100
None,100
80219-2267,245200
80207-3220,457000
80236-2504,240700
80210-2738,384200
80239-3602,212200
80212-1353,467000
80205-3923,276100
80216-3526,301700
80207-2622,377800
80209-4632,1092000
80249-7140,371300
80207-3137,497000
None,329900
80239-6210,237300
None,434500
80212-1344,470700
80249-8638,283800
None,1066200
80249-8010,254000
80222-3911,405400
80216-2729,221700
80223-2809,208100
80224-1249,402300
None,61100
80231-2679,319800
80249-7125,267700
80227-4141,328900
80207-3510,311500
80231-4018,363400
80220-5162,566900
80249-8601,305000
80249-8087,272000
80223-2517,289600
80221-1032,416000
80205-2925,312000
None,2131100
80207-3034,407100
80212-1772,758400
None,16317100
80205-3831,308600
80231-5687,465900
80204-2950,279400
80238-3833,599300
80219-2051,239300
None,646800
80210-5156,527300
80246-1426,665600
80210-5115,381600
None,361700
80207-1861,217500
80238-3847,654100
80221-1030,321900
80211-2718,420400
80223-1520,404000
80205-3034,684800
80218-3404,571000
80237-1718,378500
80211-5044,283700
80239-3820,248100
80249-8082,219600
80236-2606,282900
80219-3629,247200
80207-2927,419300
80202-1228,1562000
80222-3550,299900
80212-2227,529300
80249-8105,284700
80211-3429,291600
80207-3928,982700
80246-3244,340900
80222-4446,448000
80236-2410,285100
80224-2727,432100
80203-3616,446200
80205-4805,448800
80211-2716,414300
80221-1209,288000
80211-3017,665800
80205-4230,284500
80239-4365,258400
80223-1326,323400
80237-2528,721300
80220-5261,387500
80211-3327,495000
80222-3916,509600
80223-2217,269100
80219-3376,319600
None,639200
80211-3528,2461400
80239-5120,249400
80210-6352,688300
80211-3215,329100
80209-4426,960000
80204-1018,413800
80210-4105,488100
80239-7035,266400
None,311000
80209-4412,713600
80210-1909,504700
80231-4185,371200
80223-3821,242900
80211-5113,472000
80219-3742,208300
80210-4905,737000
80210-2828,521500
80219-2402,161600
80224-1977,302000
80219-5721,307700
80203-4121,22100
80219-4434,271500
80239-6503,211900
80237-2166,503100
80249-7067,231900
None,741300
80205-2129,537300
80209-4111,494900
80220-6107,354200
80247-1908,379300
80218-1624,470800
80239-5875,287700
80212-2049,416400
80210-6315,442500
80220-6018,474200
80236-2249,303000
80236-6006,224700
80222-7311,309700
None,551800
80220-4620,707900
None,734900
80231-4129,378600
None,500700
80231-4261,525000
80220-3108,241900
80238-2750,526800
80206-3841,927600
80224-2161,331500
80238-3268,458200
80123-1385,265700
80219-2150,185000
80221-1323,243200
None,426800
80209-4326,498800
80209-2716,880600
80205-5334,522100
80249-7004,254100
None,584000
80238-3501,473600
80224-2752,430300
80238-2543,657400
80218-3810,313400
None,2145800
80220-2053,265500
80219-5358,251000
80238-3042,654300
80249-7077,267700
80204-1149,677900
80212-1846,810700
80219-2658,190900
80219-5743,250600
80219-4856,152900
80224-2517,357900
80223-4105,553700
80211-2147,406600
None,77600
80231-2619,312400
80210-3213,585500
80212-2442,399900
80123-0689,444200
80212-1715,426300
80235-3039,1262300
80236-3341,384400
80209-2607,2321200
80219-1237,209300
80205-2913,275000
80239-6477,212700
80205-5257,588100
80223-1933,293900
80249-8481,297000
80212-2551,406000
80231-8033,267700
80224-1407,350100
80238-3442,307400
80236-2839,249400
80207-3837,1078000
None,380100
80239-4917,261500
80211-3726,326600
80230-6549,467700
80239-4419,256000
80220-1020,456400
80239-5428,242700
80206-2908,391100
80246-1156,1831000
80237-1521,322300
None,344300
80237-1352,493800
80210-5015,652000
80231-5694,192800
80123-1611,355300
80206-4422,819400
80235-3068,512000
80221-1030,354500
80220-2215,224200
80236-2528,232800
80211-4077,492300
80223-1126,509500
80204-3118,179800
80205-3357,372400
80205-3757,232000
None,343700
80219-3508,251600
80212-2234,385500
80236-2144,299400
None,563500
80211-3757,557300
80210-2813,459800
80219-3927,263000
80249-7232,270400
80223-3120,3284100
80222-3554,321300
80205-4445,262100
80203-1814,3759900
None,100
80204-4424,675400
80210-5739,506900
80206-4420,1885100
80205-4715,472600
80210-5931,469300
80210-1818,627500
None,661200
80210-6750,773800
80209-4937,489500
80220-2034,460000
80212-1526,315300
80220-2448,452300
80219-2449,340500
80221-1148,552800
80220-5109,559000
80210-2258,571200
80249-7560,251400
80210-1906,486200
80239-5862,252800
80205-5333,543600
80218-1023,279700
None,100
80249-8433,397700
80249-7551,373300
80249-6609,263100
80219-1947,206900
None,792800
80238-2767,500400
80204-5117,389600
80222-7219,523000
80218-3559,4070400
80239-4996,210100
80238-2611,575800
80210-4016,623200
80249-8012,273400
80212-1731,480100
None,100
80222-6509,375800
80221-1206,251700
80249-7613,294500
80205-5305,415800
80204-5133,285000
80216-2737,154000
80246-3221,275500
80205-5571,1899600
80207-2656,276500
80216-4037,191900
80219-4547,247600
80218-1304,478400
80207-2025,317800
80220-5122,903900
80249-8385,334500
80205-3937,350200
80219-5736,260200
80212-1713,590200
80207-2107,321600
80220-2560,639500
None,968000
80222-3507,253700
80239-3611,222300
80212-1650,459800
80206-4422,822200
80207-1034,318400
80205-5338,248600
80223-3932,289500
80210-4013,575100
80231-4237,381600
80219-5703,326300
None,421900
80219-2379,250800
80212-2418,248200
80210-6508,608200
80224-2016,341600
80209-4632,659500
80219-2750,224600
80237-2157,404700
80219-3752,187400
80212-1873,534600
80219-1841,119300
80123-1256,455800
80220-2833,462000
80211-1812,415700
80210-3119,511700
80224-1421,330500
80206-4312,1668500
80220-2552,364300
80239-4305,254400
80249-8112,330000
80223-2104,425300
80210-5645,547200
None,601300
80224-1930,308500
80205-5332,422200
80210-4811,957400
80222-7214,335300
80205-5589,419200
80249-7026,266600
80237-1132,533200
80239-4034,265000
80231-2660,255900
80239-4997,226700
80222-3819,393600
80205-5128,522500
80238-3809,439200
80209-5015,463300
80203-3817,338100
80209-4434,735900
80211-1236,268800
80207-2719,597600
80210-4921,1079600
80224-1036,564400
80206-1308,733400
80209-4946,2416200
80204-5134,251900
80239-4999,230200
80227-3540,306600
80222-3811,1892000
80230-6105,1292000
80209-4930,1315100
80249-8134,276500
80224-1978,369900
80212-2928,573100
80212-1738,986300
80249-7030,246800
80238-3496,759700
80249-6502,329200
80220-2459,353200
80123-1831,208400
80209-4626,1635700
80231-2669,199100
80204-3144,169600
80220-3224,268700
80220-2240,267600
80239-6311,223700
80204-3541,332100
80123-1869,323300
80224-1980,537000
80230-7175,220100
80219-5364,208200
80223-1802,4917400
80212-1249,406000
80224-2837,445100
80223-3009,96200
80206-3345,622900
80238-3222,396200
80222-4701,351200
80219-5114,277300
80224-2650,397800
80211-2753,560600
80211-1311,409400
80238-2529,355200
80224-2617,427900
80211-2205,515200
80223-1902,292500
