"","county","distcode","district","schoolcode","school","cohort","gradrate"
"53","ADAMS","0020","ADAMS 12 FIVE STAR SCHOOLS","5816","Thornton High School","20162017","0.83458646616541299"
"54","ADAMS","0020","ADAMS 12 FIVE STAR SCHOOLS","5816","Thornton High School","20152016","0.84552845528455201"
"55","ADAMS","0020","ADAMS 12 FIVE STAR SCHOOLS","5816","Thornton High School","20142015","0.839243498817966"
"56","ADAMS","0020","ADAMS 12 FIVE STAR SCHOOLS","5816","Thornton High School","20132014","0.84409799554565701"
"57","ADAMS","0020","ADAMS 12 FIVE STAR SCHOOLS","6060","Mountain Range High School","20162017","0.89592760180995401"
"58","ADAMS","0020","ADAMS 12 FIVE STAR SCHOOLS","6060","Mountain Range High School","20152016","0.93693693693693603"
"59","ADAMS","0020","ADAMS 12 FIVE STAR SCHOOLS","6060","Mountain Range High School","20142015","0.93144208037825005"
"60","ADAMS","0020","ADAMS 12 FIVE STAR SCHOOLS","6060","Mountain Range High School","20132014","0.93317422434367503"
"61","ADAMS","0020","ADAMS 12 FIVE STAR SCHOOLS","6402","Northglenn High School","20162017","0.89775561097256795"
"62","ADAMS","0020","ADAMS 12 FIVE STAR SCHOOLS","6402","Northglenn High School","20152016","0.870588235294117"
"63","ADAMS","0020","ADAMS 12 FIVE STAR SCHOOLS","6402","Northglenn High School","20142015","0.89552238805970097"
"64","ADAMS","0020","ADAMS 12 FIVE STAR SCHOOLS","6402","Northglenn High School","20132014","0.87202380952380898"
"65","ADAMS","0020","ADAMS 12 FIVE STAR SCHOOLS","6956","Pathways Future Center","20162017","0.58585858585858497"
"66","ADAMS","0020","ADAMS 12 FIVE STAR SCHOOLS","6956","Pathways Future Center","20152016","0.74132492113564596"
"67","ADAMS","0020","ADAMS 12 FIVE STAR SCHOOLS","6956","Pathways Future Center","20142015","0.72815533980582503"
"68","ADAMS","0020","ADAMS 12 FIVE STAR SCHOOLS","6956","Pathways Future Center","20132014","0.66339869281045705"
"69","ADAMS","0020","ADAMS 12 FIVE STAR SCHOOLS","9431","Westgate Charter","20162017","0.86363636363636298"
"70","ADAMS","0020","ADAMS 12 FIVE STAR SCHOOLS","9431","Westgate Charter","20152016","1"
"71","ADAMS","0020","ADAMS 12 FIVE STAR SCHOOLS","9431","Westgate Charter","20142015","0"
"72","ADAMS","0020","ADAMS 12 FIVE STAR SCHOOLS","9431","Westgate Charter","20132014","0"
"73","ADAMS","0020","ADAMS 12 FIVE STAR SCHOOLS","9998","DISTRICT TOTAL","20162017","0.83555062823355497"
"74","ADAMS","0020","ADAMS 12 FIVE STAR SCHOOLS","9998","DISTRICT TOTAL","20152016","0.85889101338432094"
"75","ADAMS","0020","ADAMS 12 FIVE STAR SCHOOLS","9998","DISTRICT TOTAL","20142015","0.856759862121792"
"76","ADAMS","0020","ADAMS 12 FIVE STAR SCHOOLS","9998","DISTRICT TOTAL","20132014","0.82685634975711297"
"77","ADAMS","0030","ADAMS COUNTY 14","0022","Lester R Arnold High School","20162017","0.42142857142857099"
"78","ADAMS","0030","ADAMS COUNTY 14","0022","Lester R Arnold High School","20152016","0.44871794871794801"
"79","ADAMS","0030","ADAMS COUNTY 14","0022","Lester R Arnold High School","20142015","0.56115107913669005"
"80","ADAMS","0030","ADAMS COUNTY 14","0022","Lester R Arnold High School","20132014","0.47482014388489202"
"81","ADAMS","0030","ADAMS COUNTY 14","0024","Adams City High School","20162017","0.74278215223097099"
"82","ADAMS","0030","ADAMS COUNTY 14","0024","Adams City High School","20152016","0.83507853403141297"
"83","ADAMS","0030","ADAMS COUNTY 14","0024","Adams City High School","20142015","0.81791907514450801"
"84","ADAMS","0030","ADAMS COUNTY 14","0024","Adams City High School","20132014","0.860869565217391"
"85","ADAMS","0030","ADAMS COUNTY 14","9998","DISTRICT TOTAL","20162017","0.656429942418426"
"86","ADAMS","0030","ADAMS COUNTY 14","9998","DISTRICT TOTAL","20152016","0.72304832713754597"
"87","ADAMS","0030","ADAMS COUNTY 14","9998","DISTRICT TOTAL","20142015","0.74432989690721596"
"88","ADAMS","0030","ADAMS COUNTY 14","9998","DISTRICT TOTAL","20132014","0.75"
"89","ADAMS","0040","SCHOOL DISTRICT 27J","1021","Brighton Heritage Academy","20162017","0.14285714285714199"
"90","ADAMS","0040","SCHOOL DISTRICT 27J","1021","Brighton Heritage Academy","20152016","0.38333333333333303"
"91","ADAMS","0040","SCHOOL DISTRICT 27J","1021","Brighton Heritage Academy","20142015","0.373493975903614"
"92","ADAMS","0040","SCHOOL DISTRICT 27J","1021","Brighton Heritage Academy","20132014","0.5"
"93","ADAMS","0040","SCHOOL DISTRICT 27J","1022","Brighton High School","20162017","0.80974477958236601"
"94","ADAMS","0040","SCHOOL DISTRICT 27J","1022","Brighton High School","20152016","0.85071090047393305"
"95","ADAMS","0040","SCHOOL DISTRICT 27J","1022","Brighton High School","20142015","0.84886649874055398"
"96","ADAMS","0040","SCHOOL DISTRICT 27J","1022","Brighton High School","20132014","0.88105726872246604"
"97","ADAMS","0040","SCHOOL DISTRICT 27J","1560","Bolt Academy","20162017","0.75"
"98","ADAMS","0040","SCHOOL DISTRICT 27J","1560","Bolt Academy","20152016","0.73333333333333295"
"99","ADAMS","0040","SCHOOL DISTRICT 27J","1560","Bolt Academy","20142015","0.73333333333333295"
"100","ADAMS","0040","SCHOOL DISTRICT 27J","1560","Bolt Academy","20132014","0.8"
"101","ADAMS","0040","SCHOOL DISTRICT 27J","2399","Eagle Ridge Academy","20162017","0.98019801980197996"
