nhid,dist,sch_cd,School_Name,Lowest_Grade,Highest_Grade,COUNTY,geometry
164,dist3,866,BOULDER EXPLORE,Kindergarten,12th Grade,BOULDER,0101000000D812B9E00C4B5AC0A8D2FA5B02004440
165,dist1,8418,SUPERIOR ELEMENTARY SCHOOL,Kindergarten,5th Grade,BOULDER,0101000000B8D4415E0F4A5AC080936DE00EF84340
165,dist2,2589,ELDORADO K-8 SCHOOL,Kindergarten,8th Grade,BOULDER,0101000000F8CC9200354A5AC0C86A9E23F2F54340
165,dist3,2940,FIRESIDE ELEMENTARY SCHOOL,Preschool,5th Grade,BOULDER,0101000000EC66463F1A4A5AC0D0FA5B02F0FB4340
167,dist1,7565,ST. VRAIN COMMUNITY MONTESSORI SCHOOL,Preschool,8th Grade,BOULDER,0101000000284701A260485AC040F2CEA10C134440
167,dist2,8927,TWIN PEAKS CHARTER ACADEMY,Kindergarten,12th Grade,BOULDER,01010000008481E7DEC3475AC008815CE2C8134440
167,dist3,2964,FLAGSTAFF CHARTER ACADEMY,Preschool,8th Grade,BOULDER,01010000003CCE3461FB475AC0402383DC45124440
168,dist1,4278,INDIAN PEAKS ELEMENTARY SCHOOL,Preschool,5th Grade,BOULDER,01010000002841464085475AC0D0C133A149124440
168,dist2,8927,TWIN PEAKS CHARTER ACADEMY,Kindergarten,12th Grade,BOULDER,01010000008481E7DEC3475AC008815CE2C8134440
168,dist3,2964,FLAGSTAFF CHARTER ACADEMY,Preschool,8th Grade,BOULDER,01010000003CCE3461FB475AC0402383DC45124440
17,dist1,6957,UNIVERSITY PREP - STEELE ST.,Preschool,5th Grade,DENVER,010100000018B14F00C53C5AC0700C3A2174E24340
17,dist2,3778,INTERNATIONAL ACADEMY OF DENVER AT HARRINGTON,Preschool,5th Grade,DENVER,010100000068E55E60563D5AC080751C3F54E24340
17,dist3,1846,COLUMBINE ELEMENTARY SCHOOL,Preschool,5th Grade,DENVER,010100000084BA48A12C3D5AC090D2DEE00BE14340
170,dist1,2912,FALL RIVER ELEMENTARY SCHOOL,Preschool,5th Grade,BOULDER,010100000020D8F15F20445AC08012D89C83174440
170,dist2,61,ALPINE ELEMENTARY SCHOOL,Preschool,5th Grade,BOULDER,0101000000189FC9FE79455AC0B00BEA5BE6184440
170,dist3,6010,TIMBERLINE PK-8,Preschool,8th Grade,BOULDER,0101000000D8E253008C455AC0200B0A8332174440
171,dist1,1844,COLUMBINE ELEMENTARY SCHOOL,Preschool,5th Grade,BOULDER,0101000000D4C70A7E1B465AC0B0B30584D6154440
171,dist2,6010,TIMBERLINE PK-8,Preschool,8th Grade,BOULDER,0101000000D8E253008C455AC0200B0A8332174440
171,dist3,7464,ROCKY MOUNTAIN ELEMENTARY SCHOOL,Preschool,5th Grade,BOULDER,01010000005CAF777FBC465AC020AB06616E154440
172,dist1,7584,SANBORN ELEMENTARY SCHOOL,Preschool,5th Grade,BOULDER,01010000000C691B7FA2475AC018AB06616E194440
172,dist2,6404,NORTHRIDGE ELEMENTARY SCHOOL,Preschool,5th Grade,BOULDER,010100000068D097DEFE465AC0585E2BA1BB184440
172,dist3,5284,LONGMONT ESTATES ELEMENTARY SCHOOL,Preschool,5th Grade,BOULDER,010100000068FA7ABE66495AC0484F9143C4174440
173,dist1,4386,JAMESTOWN ELEMENTARY SCHOOL,Kindergarten,5th Grade,BOULDER,01010000007863CF9ECB585AC0404D66BCAD0E4440
173,dist2,3488,GOLD HILL ELEMENTARY SCHOOL,Kindergarten,5th Grade,BOULDER,0101000000C05BAE7E6C5A5AC0D061A2410A084440
173,dist3,5364,LYONS ELEMENTARY SCHOOL,Preschool,5th Grade,BOULDER,0101000000302FC03E3A515AC0A0B75CFDD81C4440
174,dist1,5364,LYONS ELEMENTARY SCHOOL,Preschool,5th Grade,BOULDER,0101000000302FC03E3A515AC0A0B75CFDD81C4440
174,dist2,4202,HYGIENE ELEMENTARY SCHOOL,Preschool,5th Grade,BOULDER,010100000074486AA1644B5AC030B08EE387184440
174,dist3,5284,LONGMONT ESTATES ELEMENTARY SCHOOL,Preschool,5th Grade,BOULDER,010100000068FA7ABE66495AC0484F9143C4174440
175,dist1,7584,SANBORN ELEMENTARY SCHOOL,Preschool,5th Grade,BOULDER,01010000000C691B7FA2475AC018AB06616E194440
175,dist2,6404,NORTHRIDGE ELEMENTARY SCHOOL,Preschool,5th Grade,BOULDER,010100000068D097DEFE465AC0585E2BA1BB184440
175,dist3,61,ALPINE ELEMENTARY SCHOOL,Preschool,5th Grade,BOULDER,0101000000189FC9FE79455AC0B00BEA5BE6184440
176,dist1,1148,BURLINGTON ELEMENTARY SCHOOL,Preschool,5th Grade,BOULDER,01010000003CA759A0DD465AC048EFC682C2124440
176,dist2,4278,INDIAN PEAKS ELEMENTARY SCHOOL,Preschool,5th Grade,BOULDER,01010000002841464085475AC0D0C133A149124440
176,dist3,2964,FLAGSTAFF CHARTER ACADEMY,Preschool,8th Grade,BOULDER,01010000003CCE3461FB475AC0402383DC45124440
177,dist1,930,BOULDER UNIVERSAL,Kindergarten,12th Grade,BOULDER,0101000000A07A32FFE84C5AC06049F25CDF014440
177,dist2,3882,HEATHERWOOD ELEMENTARY SCHOOL,Preschool,5th Grade,BOULDER,01010000001075E61E124B5AC0085E11FC6F074440
177,dist3,2240,DOUGLASS ELEMENTARY SCHOOL,Preschool,5th Grade,BOULDER,0101000000500AF31E674B5AC078D6E07D55004440
178,dist1,6208,NEDERLAND ELEMENTARY SCHOOL,Preschool,5th Grade,BOULDER,010100000098232BBF0C615AC0A8565F5D15FC4340
178,dist2,3488,GOLD HILL ELEMENTARY SCHOOL,Kindergarten,5th Grade,BOULDER,0101000000C05BAE7E6C5A5AC0D061A2410A084440
178,dist3,1730,COAL CREEK CANYON K-8 ELEMENTARY SCHOOL,Kindergarten,8th Grade,JEFFERSON,01010000007033DC80CF565AC070D34A2190F34340
179,dist1,8978,UNIVERSITY HILL ELEMENTARY SCHOOL,Preschool,5th Grade,BOULDER,01010000009C2CB5DE6F515AC098F6065F98004440
179,dist2,9544,WHITTIER ELEMENTARY SCHOOL,Kindergarten,5th Grade,BOULDER,0101000000D0B2B5BE48515AC040B39602D2024440
179,dist3,2970,FLATIRONS ELEMENTARY SCHOOL,Kindergarten,5th Grade,BOULDER,0101000000DCF126BF45525AC05056F0DB10014440
18,dist1,9739,WYATT ACADEMY,Kindergarten,8th Grade,DENVER,0101000000585EF23FF93D5AC058FEEE1D35E24340
18,dist2,1785,COLE ARTS AND SCIENCE ACADEMY,Preschool,5th Grade,DENVER,0101000000B82231410D3E5AC090EDEE01BAE14340
18,dist3,3778,INTERNATIONAL ACADEMY OF DENVER AT HARRINGTON,Preschool,5th Grade,DENVER,010100000068E55E60563D5AC080751C3F54E24340
180,dist1,919,BOULDER COMMUNITY SCHOOL/INTEGRATED STUDIES,Kindergarten,5th Grade,BOULDER,0101000000BC55D7A19A4F5AC050FE99417C004440
180,dist2,3940,HIGH PEAKS ELEMENTARY SCHOOL,Preschool,5th Grade,BOULDER,0101000000BC55D7A19A4F5AC050FE99417C004440
180,dist3,2552,EISENHOWER ELEMENTARY SCHOOL,Kindergarten,5th Grade,BOULDER,0101000000B8404981054F5AC018DEACC1FB004440
181,dist1,4386,JAMESTOWN ELEMENTARY SCHOOL,Kindergarten,5th Grade,BOULDER,01010000007863CF9ECB585AC0404D66BCAD0E4440
181,dist2,3488,GOLD HILL ELEMENTARY SCHOOL,Kindergarten,5th Grade,BOULDER,0101000000C05BAE7E6C5A5AC0D061A2410A084440
181,dist3,1996,CREST VIEW ELEMENTARY SCHOOL,Kindergarten,5th Grade,BOULDER,0101000000DC60360186515AC0B85ED38382064440
182,dist1,1434,CENTRAL ELEMENTARY SCHOOL,Preschool,5th Grade,BOULDER,0101000000345FECBDF8465AC0587CB5A338154440
182,dist2,7464,ROCKY MOUNTAIN ELEMENTARY SCHOOL,Preschool,5th Grade,BOULDER,01010000005CAF777FBC465AC020AB06616E154440
182,dist3,8927,TWIN PEAKS CHARTER ACADEMY,Kindergarten,12th Grade,BOULDER,01010000008481E7DEC3475AC008815CE2C8134440
184,dist1,6642,HORIZONS K-8 SCHOOL,Kindergarten,8th Grade,BOULDER,01010000002C2C7FBE2D4F5AC048D7F7E120FF4340
184,dist2,2552,EISENHOWER ELEMENTARY SCHOOL,Kindergarten,5th Grade,BOULDER,0101000000B8404981054F5AC018DEACC1FB004440
184,dist3,919,BOULDER COMMUNITY SCHOOL/INTEGRATED STUDIES,Kindergarten,5th Grade,BOULDER,0101000000BC55D7A19A4F5AC050FE99417C004440
185,dist1,2552,EISENHOWER ELEMENTARY SCHOOL,Kindergarten,5th Grade,BOULDER,0101000000B8404981054F5AC018DEACC1FB004440
185,dist2,9544,WHITTIER ELEMENTARY SCHOOL,Kindergarten,5th Grade,BOULDER,0101000000D0B2B5BE48515AC040B39602D2024440
185,dist3,919,BOULDER COMMUNITY SCHOOL/INTEGRATED STUDIES,Kindergarten,5th Grade,BOULDER,0101000000BC55D7A19A4F5AC050FE99417C004440
187,dist1,3882,HEATHERWOOD ELEMENTARY SCHOOL,Preschool,5th Grade,BOULDER,01010000001075E61E124B5AC0085E11FC6F074440
187,dist2,120,APEX HOME SCHOOL ENRICHMENT PROGRAM,Kindergarten,12th Grade,BOULDER,0101000000E0486760E44A5AC0F042572250094440
187,dist3,6274,NIWOT ELEMENTARY SCHOOL,Preschool,5th Grade,BOULDER,01010000006CDFA3FE7A495AC038F65E7CD10C4440
188,dist1,5284,LONGMONT ESTATES ELEMENTARY SCHOOL,Preschool,5th Grade,BOULDER,010100000068FA7ABE66495AC0484F9143C4174440
188,dist2,4202,HYGIENE ELEMENTARY SCHOOL,Preschool,5th Grade,BOULDER,010100000074486AA1644B5AC030B08EE387184440
188,dist3,7584,SANBORN ELEMENTARY SCHOOL,Preschool,5th Grade,BOULDER,01010000000C691B7FA2475AC018AB06616E194440
189,dist1,6150,MOUNTAIN VIEW ELEMENTARY SCHOOL,Preschool,5th Grade,BROOMFIELD,0101000000C04F55A181425AC018A5BDC117F64340
189,dist2,872,BIRCH ELEMENTARY SCHOOL,Preschool,5th Grade,BROOMFIELD,010100000050401361C3435AC088E8F4BC1BF74340
189,dist3,15,ACADEMY OF CHARTER SCHOOLS,Preschool,12th Grade,ADAMS,0101000000E05AED612F425AC0F06C567DAEF44340
19,dist1,1788,COLLEGE VIEW ELEMENTARY SCHOOL,Preschool,5th Grade,DENVER,0101000000945C8C8175415AC0B086A8C29FD54340
19,dist2,7698,SCHMITT ELEMENTARY SCHOOL,Preschool,5th Grade,DENVER,010100000090E4F21FD2405AC000E275FD82D74340
19,dist3,3704,GUST ELEMENTARY SCHOOL,Preschool,5th Grade,DENVER,01010000008C1150E108425AC0487D76C075D54340
192,dist1,4792,KOHL ELEMENTARY SCHOOL,Preschool,5th Grade,BROOMFIELD,0101000000388F8AFF3B455AC028C9ACDEE1F64340
192,dist2,2702,EMERALD ELEMENTARY SCHOOL,Preschool,5th Grade,BROOMFIELD,0101000000DC12B9E00C455AC0F82CCF83BBF54340
192,dist3,872,BIRCH ELEMENTARY SCHOOL,Preschool,5th Grade,BROOMFIELD,010100000050401361C3435AC088E8F4BC1BF74340
193,dist1,4792,KOHL ELEMENTARY SCHOOL,Preschool,5th Grade,BROOMFIELD,0101000000388F8AFF3B455AC028C9ACDEE1F64340
193,dist2,872,BIRCH ELEMENTARY SCHOOL,Preschool,5th Grade,BROOMFIELD,010100000050401361C3435AC088E8F4BC1BF74340
193,dist3,441,ASPEN CREEK K-8 SCHOOL,Preschool,8th Grade,BROOMFIELD,010100000048F25CDF87435AC0E87E87A240F94340
194,dist1,1937,COYOTE RIDGE ELEMENTARY SCHOOL,Kindergarten,5th Grade,BROOMFIELD,0101000000745AB741ED425AC0305915E126F94340
194,dist2,441,ASPEN CREEK K-8 SCHOOL,Preschool,8th Grade,BROOMFIELD,010100000048F25CDF87435AC0E87E87A240F94340
194,dist3,872,BIRCH ELEMENTARY SCHOOL,Preschool,5th Grade,BROOMFIELD,010100000050401361C3435AC088E8F4BC1BF74340
196,dist1,6802,PROSPECT RIDGE ACADEMY,Kindergarten,11th Grade,BROOMFIELD,0101000000DC3994A12A415AC0284ED2FC31FF4340
196,dist2,59,MERIDIAN ELEMENTARY SCHOOL,Kindergarten,5th Grade,BROOMFIELD,0101000000B0E386DF4D415AC080AF05BD37FA4340
196,dist3,7795,SILVER CREEK ELEMENTARY,Kindergarten,5th Grade,ADAMS,0101000000C45565DF153D5AC0D876F700DDFB4340
197,dist1,2308,DUPONT ELEMENTARY SCHOOL,Kindergarten,5th Grade,ADAMS,010100000004302C7FBE3A5AC0885A0C1EA6EB4340
197,dist2,5982,MONACO ELEMENTARY SCHOOL,Kindergarten,5th Grade,ADAMS,010100000024DBF97E6A3A5AC0800CC85EEFEA4340
197,dist3,6534,HANSON ELEMENTARY SCHOOL,Preschool,5th Grade,ADAMS,0101000000FCDB65BFEE395AC05819C6DD20EA4340
198,dist1,1426,CENTRAL ELEMENTARY SCHOOL,Preschool,5th Grade,ADAMS,010100000088F0F620043B5AC0482844C021E84340
198,dist2,1882,COMMUNITY LEADERSHIP ACADEMY,Preschool,5th Grade,ADAMS,0101000000F0811DFF053B5AC0104BCADDE7E84340
198,dist3,7500,ROSE HILL ELEMENTARY SCHOOL,Preschool,5th Grade,ADAMS,0101000000B4B6291E173A5AC048DAC69FA8E64340
199,dist1,8032,JOHN W THIMMIG ELEMENTARY SCHOOL,Preschool,5th Grade,ADAMS,01010000005007B29E5A365AC058B3B27DC8F34340
199,dist2,8820,TURNBERRY ELEMENTARY,Preschool,5th Grade,ADAMS,0101000000785A457F68355AC0C0BCE47FF2F14340
199,dist3,700,BELLE CREEK CHARTER SCHOOL,Kindergarten,8th Grade,ADAMS,0101000000ACD1AB014A385AC0F03994A12AF24340
2,dist1,3655,GREENLEE ELEMENTARY SCHOOL,Preschool,5th Grade,DENVER,010100000088D51F6118405AC0D0DF844204DE4340
2,dist2,408,VALDEZ ELEMENTARY SCHOOL,Preschool,5th Grade,DENVER,0101000000982CEE3F32415AC04086C77E16E14340
2,dist3,2880,FAIRVIEW ELEMENTARY SCHOOL,Preschool,5th Grade,DENVER,0101000000A4923A014D415AC0488C82E0F1DD4340
20,dist1,8776,TELLER ELEMENTARY SCHOOL,Preschool,5th Grade,DENVER,01010000007869C361693C5AC04041D47D00DE4340
20,dist2,1056,BROMWELL ELEMENTARY SCHOOL,Preschool,5th Grade,DENVER,010100000090F0BDBF413D5AC0E0BEB9BF7ADC4340
20,dist3,8222,STECK ELEMENTARY SCHOOL,Preschool,5th Grade,DENVER,01010000004807EBFF1C3C5AC078FA415DA4DC4340
200,dist1,1052,BROMLEY EAST CHARTER SCHOOL,Preschool,8th Grade,ADAMS,01010000000442EBE1CB2F5AC0781283C0CAFD4340
200,dist2,2945,FOUNDATIONS ACADEMY,Kindergarten,8th Grade,ADAMS,010100000038BFEFDFBC305AC0D0FA5B02F0FD4340
200,dist3,5615,MARY E PENNOCK ELEMENTARY SCHOOL,Kindergarten,5th Grade,ADAMS,01010000009026A5A0DB315AC0C8FEEBDCB4FD4340
201,dist1,1934,COYOTE CREEK ELEMENTARY SCHOOL,Preschool,6th Grade,DOUGLAS,0101000000A04D0E9F74415AC090B4386398C34340
201,dist2,7718,SEDALIA ELEMENTARY SCHOOL,Kindergarten,6th Grade,DOUGLAS,0101000000901150E1083E5AC0688BA4DDE8B74340
201,dist3,2953,STONE MOUNTAIN ELEMENTARY,Preschool,6th Grade,DOUGLAS,01010000005022C2BF08405AC0D0FD9C82FCC24340
202,dist1,4980,LARKSPUR ELEMENTARY SCHOOL,Kindergarten,6th Grade,DOUGLAS,0101000000F899B33EE5395AC0D8D6FA22A19D4340
202,dist2,265,CLEAR SKY ELEMENTARY,Preschool,6th Grade,DOUGLAS,01010000006CCD565EF2395AC0E03AE3FBE2B04340
202,dist3,8106,SOARING HAWK ELEMENTARY SCHOOL,Preschool,6th Grade,DOUGLAS,01010000001CEDB8E1773A5AC08854C37E4FB24340
203,dist1,2952,MAMMOTH HEIGHTS ELEMENTARY,Preschool,6th Grade,DOUGLAS,0101000000189FC9FE79335AC008BD8C62B9C54340
203,dist2,6938,PINE GROVE ELEMENTARY SCHOOL,Preschool,6th Grade,DOUGLAS,0101000000D4EB1681B1335AC0D855F31C91C34340
203,dist3,1579,NORTH STAR ACADEMY,Kindergarten,8th Grade,DOUGLAS,0101000000E44BA8E0F0325AC050F8A57EDEC44340
204,dist1,4980,LARKSPUR ELEMENTARY SCHOOL,Kindergarten,6th Grade,DOUGLAS,0101000000F899B33EE5395AC0D8D6FA22A19D4340
204,dist2,265,CLEAR SKY ELEMENTARY,Preschool,6th Grade,DOUGLAS,01010000006CCD565EF2395AC0E03AE3FBE2B04340
204,dist3,8106,SOARING HAWK ELEMENTARY SCHOOL,Preschool,6th Grade,DOUGLAS,01010000001CEDB8E1773A5AC08854C37E4FB24340
205,dist1,1873,PARKER CORE KNOWLEDGE CHARTER SCHOOL,Kindergarten,8th Grade,DOUGLAS,010100000050B9C2BB5C305AC0004356B77AC44340
205,dist2,6940,PINE LANE ELEMENTARY,Preschool,6th Grade,DOUGLAS,0101000000A044847F11315AC0D85D2EE23BC54340
205,dist3,3327,GLOBAL VILLAGE ACADEMY - DOUGLAS COUNTY,Kindergarten,6th Grade,DOUGLAS,0101000000986B98A1F1305AC09024ECDB49C24340
206,dist1,7718,SEDALIA ELEMENTARY SCHOOL,Kindergarten,6th Grade,DOUGLAS,0101000000901150E1083E5AC0688BA4DDE8B74340
206,dist2,1899,COPPER MESA ELEMENTARY SCHOOL,Preschool,6th Grade,DOUGLAS,0101000000E836E15E993C5AC0D8243FE257C24340
206,dist3,8853,TIMBER TRAIL ELEMENTARY SCHOOL,Kindergarten,5th Grade,DOUGLAS,0101000000281DACFF73395AC0383E05C078BC4340
207,dist1,6961,PIONEER ELEMENTARY SCHOOL,Preschool,5th Grade,DOUGLAS,01010000007830293E3E2F5AC0985CFE43FAC14340
207,dist2,1873,PARKER CORE KNOWLEDGE CHARTER SCHOOL,Kindergarten,8th Grade,DOUGLAS,010100000050B9C2BB5C305AC0004356B77AC44340
207,dist3,6940,PINE LANE ELEMENTARY,Preschool,6th Grade,DOUGLAS,0101000000A044847F11315AC0D85D2EE23BC54340
208,dist1,1934,COYOTE CREEK ELEMENTARY SCHOOL,Preschool,6th Grade,DOUGLAS,0101000000A04D0E9F74415AC090B4386398C34340
208,dist2,8897,TRAILBLAZER ELEMENTARY SCHOOL,Preschool,6th Grade,DOUGLAS,01010000003CB665C059415AC020AED51EF6C44340
208,dist3,2953,STONE MOUNTAIN ELEMENTARY,Preschool,6th Grade,DOUGLAS,01010000005022C2BF08405AC0D0FD9C82FCC24340
209,dist1,4980,LARKSPUR ELEMENTARY SCHOOL,Kindergarten,6th Grade,DOUGLAS,0101000000F899B33EE5395AC0D8D6FA22A19D4340
209,dist2,5405,EDCSD: COLORADO CYBER SCHOOL,Kindergarten,12th Grade,DOUGLAS,010100000000698D4127375AC0D8BEB9BF7AAE4340
209,dist3,8126,SOUTH RIDGE ELEMENTARY AN IB WORLD SCHOOL,Preschool,6th Grade,DOUGLAS,01010000007854FCDF11365AC0A0A4F9635AAF4340
21,dist1,1908,CORY ELEMENTARY SCHOOL,1st Grade,5th Grade,DENVER,01010000009C62D520CC3C5AC0F826DBC01DD84340
21,dist2,3698,CREATIVITY CHALLENGE COMMUNITY,Kindergarten,5th Grade,DENVER,0101000000F490291F823C5AC008185DDE1CD84340
21,dist3,2652,ELLIS ELEMENTARY SCHOOL,Preschool,5th Grade,DENVER,01010000009838B9DFA13B5AC080FA08FCE1D74340
210,dist1,1578,CHERRY VALLEY ELEMENTARY SCHOOL,Kindergarten,6th Grade,DOUGLAS,0101000000ACFB8EE1B12C5AC070C4CC3E8F9D4340
210,dist2,2965,FLAGSTONE ELEMENTARY SCHOOL,Preschool,6th Grade,DOUGLAS,01010000008C26DE019E325AC058EB19C231AF4340
210,dist3,3172,FRANKTOWN ELEMENTARY SCHOOL,Preschool,5th Grade,DOUGLAS,01010000005485CD0017305AC00875CAA31BB14340
211,dist1,2965,FLAGSTONE ELEMENTARY SCHOOL,Preschool,6th Grade,DOUGLAS,01010000008C26DE019E325AC058EB19C231AF4340
211,dist2,2232,ROCK RIDGE ELEMENTARY SCHOOL,Preschool,6th Grade,DOUGLAS,010100000048E9D2BF24345AC0106C5CFFAEAF4340
211,dist3,3172,FRANKTOWN ELEMENTARY SCHOOL,Preschool,5th Grade,DOUGLAS,01010000005485CD0017305AC00875CAA31BB14340
212,dist1,2232,ROCK RIDGE ELEMENTARY SCHOOL,Preschool,6th Grade,DOUGLAS,010100000048E9D2BF24345AC0106C5CFFAEAF4340
212,dist2,2965,FLAGSTONE ELEMENTARY SCHOOL,Preschool,6th Grade,DOUGLAS,01010000008C26DE019E325AC058EB19C231AF4340
212,dist3,5607,SAGE CANYON ELEMENTARY,Preschool,6th Grade,DOUGLAS,0101000000245987A3AB345AC0A0429259BDB14340
213,dist1,3172,FRANKTOWN ELEMENTARY SCHOOL,Preschool,5th Grade,DOUGLAS,01010000005485CD0017305AC00875CAA31BB14340
213,dist2,5607,SAGE CANYON ELEMENTARY,Preschool,6th Grade,DOUGLAS,0101000000245987A3AB345AC0A0429259BDB14340
213,dist3,5045,LEGACY POINT ELEMENTARY SCHOOL,Preschool,5th Grade,DOUGLAS,0101000000A87D3A1E33325AC0F0A8F8BF23BE4340
214,dist1,266,GOLD RUSH ELEMENTARY,Preschool,5th Grade,DOUGLAS,0101000000D0B2B5BE48335AC078DB1324B6BF4340
214,dist2,7134,PRAIRIE CROSSING ELEMENTARY SCHOOL,Preschool,6th Grade,DOUGLAS,01010000007833A31F0D335AC0808159A148C14340
214,dist3,6938,PINE GROVE ELEMENTARY SCHOOL,Preschool,6th Grade,DOUGLAS,0101000000D4EB1681B1335AC0D855F31C91C34340
215,dist1,8126,SOUTH RIDGE ELEMENTARY AN IB WORLD SCHOOL,Preschool,6th Grade,DOUGLAS,01010000007854FCDF11365AC0A0A4F9635AAF4340
215,dist2,5405,EDCSD: COLORADO CYBER SCHOOL,Kindergarten,12th Grade,DOUGLAS,010100000000698D4127375AC0D8BEB9BF7AAE4340
215,dist3,1555,CLOVERLEAF HOME EDUCATION,Kindergarten,12th Grade,DOUGLAS,010100000088C3995FCD365AC088AB3C81B0AF4340
216,dist1,3241,FRONTIER VALLEY ELEMENTARY SCHOOL,Preschool,5th Grade,DOUGLAS,0101000000701283C0CA2D5AC098766A2E37C04340
216,dist2,6961,PIONEER ELEMENTARY SCHOOL,Preschool,5th Grade,DOUGLAS,01010000007830293E3E2F5AC0985CFE43FAC14340
216,dist3,4292,IRON HORSE ELEMENTARY SCHOOL,Preschool,5th Grade,DOUGLAS,01010000000842791F47305AC00803B34291C04340
217,dist1,8853,TIMBER TRAIL ELEMENTARY SCHOOL,Kindergarten,5th Grade,DOUGLAS,0101000000281DACFF73395AC0383E05C078BC4340
217,dist2,5997,DC MONTESSORI CHARTER SCHOOL,Preschool,8th Grade,DOUGLAS,0101000000EC48F59D5F385AC06861FA5E43BC4340
217,dist3,1131,BUFFALO RIDGE ELEMENTARY SCHOOL,Preschool,5th Grade,DOUGLAS,0101000000B0DD04DF34395AC0A005A1BC8FBB4340
218,dist1,8106,SOARING HAWK ELEMENTARY SCHOOL,Preschool,6th Grade,DOUGLAS,01010000001CEDB8E1773A5AC08854C37E4FB24340
218,dist2,6019,ASPEN VIEW ACADEMY,Preschool,8th Grade,DOUGLAS,010100000038DBDC989E385AC0787EC34483B24340
218,dist3,265,CLEAR SKY ELEMENTARY,Preschool,6th Grade,DOUGLAS,01010000006CCD565EF2395AC0E03AE3FBE2B04340
219,dist1,5745,MEADOW VIEW ELEMENTARY SCHOOL,Preschool,6th Grade,DOUGLAS,0101000000A4A14621C9395AC0B8DA519CA3B44340
219,dist2,7319,RENAISSANCE EXPEDITION LEARN OUTWARD BOUND SCHOOL,Kindergarten,6th Grade,DOUGLAS,0101000000F8BD4D7FF6365AC08042AF3F89B34340
219,dist3,6019,ASPEN VIEW ACADEMY,Preschool,8th Grade,DOUGLAS,010100000038DBDC989E385AC0787EC34483B24340
22,dist1,1056,BROMWELL ELEMENTARY SCHOOL,Preschool,5th Grade,DENVER,010100000090F0BDBF413D5AC0E0BEB9BF7ADC4340
22,dist2,6088,DORA MOORE ECE-8 SCHOOL,Preschool,8th Grade,DENVER,01010000008CD5E6FF553E5AC0B0E908E066DD4340
22,dist3,8242,STEELE ELEMENTARY SCHOOL,Kindergarten,5th Grade,DENVER,0101000000D08E1B7E373E5AC008705E9CF8DA4340
220,dist1,2656,ELDORADO ELEMENTARY SCHOOL,Preschool,6th Grade,DOUGLAS,010100000084DEE2E13D405AC010B1FA230CC54340
220,dist2,135,BEN FRANKLIN ACADEMY,Preschool,8th Grade,DOUGLAS,01010000000024D3A1D3405AC020F032C346C74340
220,dist3,8897,TRAILBLAZER ELEMENTARY SCHOOL,Preschool,6th Grade,DOUGLAS,01010000003CB665C059415AC020AED51EF6C44340
221,dist1,7297,REDSTONE ELEMENTARY SCHOOL,Preschool,6th Grade,DOUGLAS,0101000000CCD6C1C1DE3A5AC0F85DF58079C44340
221,dist2,354,ARROWWOOD ELEMENTARY SCHOOL,Preschool,6th Grade,DOUGLAS,0101000000889FFF1EBC3B5AC078F17EDC7EC34340
221,dist3,9592,WILDCAT MOUNTAIN ELEMENTARY SCHOOL,Preschool,5th Grade,DOUGLAS,010100000020054F21573A5AC0005DFB027AC34340
222,dist1,3928,HERITAGE ELEMENTARY SCHOOL,Preschool,6th Grade,DOUGLAS,0101000000D8C4025FD13C5AC0082159C004C44340
222,dist2,8382,SUMMIT VIEW ELEMENTARY SCHOOL,Preschool,6th Grade,DOUGLAS,010100000084C613419C3D5AC0C01397E315C44340
222,dist3,7047,PLATTE RIVER CHARTER ACADEMY,Kindergarten,8th Grade,DOUGLAS,01010000005840A19E3E3C5AC0B8DA6E826FC64340
223,dist1,2194,DEVINNY ELEMENTARY SCHOOL,Kindergarten,6th Grade,JEFFERSON,0101000000F09F6EA0C0485AC0187558E196D74340
223,dist2,4190,HUTCHINSON ELEMENTARY SCHOOL,Kindergarten,6th Grade,JEFFERSON,0101000000F090628044495AC0E8A0F65B3BD74340
223,dist3,7483,ROONEY RANCH ELEMENTARY SCHOOL,Kindergarten,6th Grade,JEFFERSON,01010000000812143FC6495AC0608BDD3EABD64340
224,dist1,9678,WITT ELEMENTARY SCHOOL,Preschool,6th Grade,JEFFERSON,0101000000344DD87E32475AC0A0DAA7E331F14340
224,dist2,5350,LUKAS ELEMENTARY SCHOOL,Kindergarten,6th Grade,JEFFERSON,010100000060B87361A4465AC0287D21E4BCEF4340
224,dist3,4402,JEFFERSON ACADEMY ELEMENTARY,Kindergarten,6th Grade,JEFFERSON,0101000000781893FE5E455AC000A67EDE54F04340
225,dist1,5524,MAPLE GROVE ELEMENTARY SCHOOL,Kindergarten,6th Grade,JEFFERSON,01010000003C8C101E6D495AC08872DBBE47E14340
225,dist2,5415,ROCKY MOUNTAIN DEAF SCHOOL,Preschool,12th Grade,JEFFERSON,0101000000545837DE1D495AC0C06D6DE179DF4340
225,dist3,4802,KULLERSTRAND ELEMENTARY SCHOOL,Kindergarten,6th Grade,JEFFERSON,0101000000F8DB9E20B1485AC020363CBD52E24340
226,dist1,7078,PLEASANT VIEW ELEMENTARY SCHOOL,Preschool,6th Grade,JEFFERSON,0101000000CCE80E62674B5AC010C4245CC8DD4340
226,dist2,6241,COLORADO DIGITAL ACADEMY - ELEMENTARY,Kindergarten,6th Grade,JEFFERSON,010100000074543541D4495AC0E8274701A2DE4340
