nhid,dist,sch_cd,School_Name,Lowest_Grade,Highest_Grade,COUNTY,geometry
110,dist1,6294,NORTH ELEMENTARY SCHOOL,Preschool,5th Grade,ADAMS,010100000020FC8BA031345AC090ED27637CFE4340
110,dist2,8060,SOUTH ELEMENTARY SCHOOL,Kindergarten,5th Grade,ADAMS,01010000009011178046345AC0C0EC10FFB0FD4340
110,dist3,8130,SOUTHEAST ELEMENTARY SCHOOL,Kindergarten,5th Grade,ADAMS,01010000000C876C205D335AC0703AE63C63FD4340
111,dist1,301,ARAPAHOE RIDGE ELEMENTARY SCHOOL,Kindergarten,5th Grade,ADAMS,0101000000147B2FBE68405AC0281494A295F74340
111,dist2,59,MERIDIAN ELEMENTARY SCHOOL,Kindergarten,5th Grade,BROOMFIELD,0101000000B0E386DF4D415AC080AF05BD37FA4340
111,dist3,1388,CENTENNIAL ELEMENTARY SCHOOL,Preschool,5th Grade,BROOMFIELD,010100000028FC19DEAC415AC0E0F7A8BF5EF74340
112,dist1,3439,GLOBAL VILLAGE ACADEMY - NORTHGLENN,Kindergarten,8th Grade,ADAMS,0101000000087BDAE1AF3F5AC0184ED2FC31F34340
112,dist2,15,ACADEMY OF CHARTER SCHOOLS,Preschool,12th Grade,ADAMS,0101000000E05AED612F425AC0F06C567DAEF44340
112,dist3,301,ARAPAHOE RIDGE ELEMENTARY SCHOOL,Kindergarten,5th Grade,ADAMS,0101000000147B2FBE68405AC0281494A295F74340
113,dist1,8211,THE STUDIO SCHOOL,Kindergarten,5th Grade,ADAMS,0101000000E0486760E43E5AC0C8EE5701BEF14340
113,dist2,8361,STUKEY ELEMENTARY SCHOOL,Kindergarten,5th Grade,ADAMS,0101000000701283C0CA3E5AC0489B1C3EE9F24340
113,dist3,4000,HILLCREST ELEMENTARY SCHOOL,Kindergarten,5th Grade,ADAMS,0101000000D80F786000405AC0706A12BC21F14340
