"","nbhd","schoolquality","avgcommute"
"130","Dover Square Park",24.5454545454545,25.5
"131","East Brighton",46.8181818181818,32
"132","East Colfax",9.54545454545455,28
"133","East Columbine",97.7272727272727,25
"134","East Roxborough Park",41.8181818181818,34
"135","Elk Meadow Park",43.1818181818182,32
"136","Elyria Swansea",2.72727272727273,24
"137","Far Horizons",14.5454545454545,28
"138","Federal Heights Federal Heights and Sherrelwood",15,27.4285714285714
"139","Five Points",95.9090909090909,22.6666666666667
"140","Flatirons and Grant",74.0909090909091,20
"141","Fort Logan",25.9090909090909,28.3333333333333
"142","Fruitdale, Kipling and I-70 & Clearcreek",21.3636363636364,22
"143","Garden Acres Park",26.8181818181818,24
"144","Genesee Park",96.3636363636364,28
"145","Globeville",20.4545454545455,24
"146","Golden Gate Canyon and Coal Creek Canyon",88.6363636363636,32
"147","Goldsmith",72.7272727272727,26
"148","Hale",45.9090909090909,23
"149","Hampden",31.8181818181818,24.25
"150","Hampden South",58.1818181818182,21.3333333333333
"151","Harriman Lake, Weaver Hollow Park and Blue Heron Park",72.2727272727273,29.4
"152","Highlands Ranch Southeast",83.6363636363636,27
"153","Highlands, Prkway, Wood Creek and Hackbrhl",11.8181818181818,24
"154","Highlands, Prkway, Wood Creek and Hackbrhl",11.8181818181818,31
"155","Hilltop",89.0909090909091,23
"156","Holly Hills",35.9090909090909,23
"157","Homestead Park and Columbine",10.4545454545455,26.3333333333333
"158","Indian Creek",70,26
"159","Lake Arbor",33.6363636363636,28
"160","Larmar Heights",25.4545454545455,25
"161","Littleton North",6.36363636363636,28
"162","Lowry Field",49.5454545454545,25
"163","Mapleton Hill, Newlands, and Juniper / Kalmia",96.8181818181818,20
"164","Marston",29.5454545454545,NA
"165","Martin Acres, Majestic Heights, and Superior",93.1818181818182,22.4
"166","McIntosh Park",75,25
"167","Mission Viejo",42.2727272727273,27
"168","Mitchell Culch Park",31.3636363636364,27
"169","Montclair",32.7272727272727,25
"170","Montview Park",0.909090909090909,28.6
"171","Mount Falcon Canyon Park",99.5454545454545,34
"172","North Aurora",5.45454545454545,27.75
"173","North StandleyLake Open Space Park",75.9090909090909,24
"174","Northeast Centennial",73.6363636363636,28.6923076923077
"175","Northeast Littleton",53.1818181818182,24
"176","Northeast Park Hill",1.81818181818182,26.5
"177","Northeast Parker",60.9090909090909,26.3333333333333
"178","Northwest Arvada",53.6363636363636,24.5
"179","Oakhurst Park, Sherwood Park",59.0909090909091,27.25
"180","Old North Boulder",34.5454545454545,18
"181","Parker North and Parker Heights",65.9090909090909,25
"182","Platte Park",39.5454545454545,20
"183","Quail Crossing Park",64.0909090909091,28
"184","Ralston",89.5454545454545,24
"185","Riverdale Park and South Thornton",28.6363636363636,29.7142857142857
"186","Roosevelt Park and Sunset Park",12.7272727272727,24
"187","Rough & Ready Park and Stephen Day Park",56.8181818181818,26.5
"188","Ruby Hill",29.0909090909091,26.5
"189","Scenic Heights",35,28
"190","Sierra Vista",84.0909090909091,27
"191","Skiline, Arvada Plaza and Terrace Park",17.7272727272727,26
"192","Sloans Lake",21.8181818181818,24.5
"193","South Littleton",91.3636363636364,24
"194","South Marston Lake",75.4545454545455,28
"195","South Standley Lake",42.7272727272727,27
"196","Southeast Boulder",94.5454545454545,18
"197","Southeast Broomfield",71.3636363636364,30.6666666666667
"198","Southeast Lafayette",69.5454545454545,22.5
"199","Southwest Longmont",88.1818181818182,19
"200","Southwest Standley Lake",46.3636363636364,27
"201","Speer",95.4545454545455,22
"202","Sullivan",100,26.5
"203","Summer Valley Park",44.5454545454545,30.6
"204","Sun Valley",8.63636363636364,28
"205","University",80.9090909090909,25
"206","University Hills(Denver County)",84.5454545454545,25.5
"207","University Park",93.6363636363636,24
"208","Villa Park",12.2727272727273,28
"209","Virginia Village",50,25.25
"210","Washington Park West",57.7272727272727,24.5
"211","Wayside Meadows Park",70.9090909090909,27.8
"212","Welby and East North Washington",28.1818181818182,31.5
"213","Wellshire",98.6363636363636,23
"214","West Brighton",27.2727272727273,24.3333333333333
"215","West Centennial",90,24.0769230769231
"216","West Erie",79.5454545454545,26
"217","West Highland",40.4545454545455,24
"218","West Northglenn",36.8181818181818,25
"219","West Pike National Forest",92.7272727272727,40
"220","Westminster Center Park",9.09090909090909,23.5
"221","Westwoods Park",97.2727272727273,32
"222","Whisper Creek",94.0909090909091,27
"223","Wonderland, Boulder Meadows, and Catalpa Park",60,19.6666666666667
"224","Yankee Doodle Park, Ralston Vally and Apex",67.2727272727273,27
