"","nbhd","cmasprof","cmas.perc"
"114","Marston",29.1333333333333,0.295454545454545
"115","Martin Acres, Majestic Heights, and Superior",66.7292582417582,0.931818181818182
"116","McIntosh Park",54.2083333333333,0.75
"117","Mission Viejo",35.7833333333333,0.422727272727273
"118","Mitchell Culch Park",30.475,0.313636363636364
"119","Montbello",18.097742733457,0.0681818181818182
"120","Montclair",31.55,0.327272727272727
"121","Montview Park",11.075,0.00909090909090909
"122","Mount Carbon Park and Westgate",50.1854166666667,0.690909090909091
"123","Mount Falcon Canyon Park",82.1833333333333,0.995454545454545
"124","Nederland and Boulder Mountain Park",45.325,0.613636363636364
"125","North Aurora",16.5765,0.0545454545454545
"126","North Capitol Hill",45.9166666666667,0.627272727272727
"127","North Central Westminster",45.3988095238095,0.618181818181818
"128","North Park Hill",39.16875,0.504545454545455
"129","North StandleyLake Open Space Park",54.5525,0.759090909090909
"130","North Thornton",46.2207142857143,0.631818181818182
"131","Northeast Adams",34.5119047619048,0.4
"132","Northeast Broomfield",43.6464285714286,0.559090909090909
"133","Northeast Centennial",53.9736996336996,0.736363636363636
"134","Northeast Lakewood",21.8307142857143,0.136363636363636
"135","Northeast Littleton",40.4690476190476,0.531818181818182
"136","Northeast Park Hill",11.6,0.0181818181818182
"137","Northeast Parker",45.2398901098901,0.609090909090909
"138","Northwest Arvada",40.8960544217687,0.536363636363636
"139","Northwest Lakewood",32.6855303030303,0.372727272727273
"140","Northwest Sheridan",10.3,0.00454545454545455
"141","Oakhurst Park, Sherwood Park",44.6099074074074,0.590909090909091
"142","Okane Park, Washington Heights Park",40.0323412698413,0.513636363636364
"143","Old North Boulder",32.0607142857143,0.345454545454545
"144","Olympic Park",34.6255952380952,0.409090909090909
"145","Parker North and Parker Heights",48.06875,0.659090909090909
"146","Pinery Park",44.6273148148148,0.595454545454545
"147","Platte Park",34.1333333333333,0.395454545454545
"148","Pomona",31.7666666666667,0.340909090909091
"149","Quail Crossing Park",46.9666666666667,0.640909090909091
"150","Ralston",62.24,0.895454545454546
"151","Red Hawk and Solitude Colorado",40.9726282051282,0.540909090909091
"152","Riverdale Park and South Thornton",28.265,0.286363636363636
"153","Rocky Mountain Arsenal",18.65,0.0818181818181818
"154","Roosevelt Park and Sunset Park",20.922,0.127272727272727
"155","Rough & Ready Park and Stephen Day Park",43.9428571428571,0.568181818181818
"156","Ruby Hill",28.3916666666667,0.290909090909091
"157","Scenic Heights",32.0875,0.35
"158","Sierra Vista",59.2375,0.840909090909091
"159","Skiline, Arvada Plaza and Terrace Park",23.4276785714286,0.177272727272727
"160","Skyland",31.11,0.322727272727273
"161","Sloans Lake",24.6011111111111,0.218181818181818
"162","South Commerce City",22.7062169312169,0.154545454545455
"163","South Lakewood",37.9213095238095,0.477272727272727
"164","South Littleton",65.2,0.913636363636364
"165","South Marston Lake",54.537,0.754545454545455
"166","South Park Hill",65.3277777777778,0.918181818181818
"167","South Standley Lake",35.925,0.427272727272727
"168","South Westminster",26.4363203463203,0.240909090909091
"169","Southeast Aurora",39.5208333333333,0.509090909090909
"170","Southeast Boulder",68.8047619047619,0.945454545454545
"171","Southeast Broomfield",51.1458333333333,0.713636363636364
"172","Southeast Centennial",56.35,0.804545454545455
"173","Southeast Lafayette",50.871875,0.695454545454545
"174","Southeast Lafayette and Rock Creek Farm Park",37.865,0.472727272727273
"175","Southmoor Park",45.5666666666667,0.622727272727273
"176","Southwest Longmont",61.2135416666667,0.881818181818182
"177","Southwest Standley Lake",37.6125,0.463636363636364
"178","Southwest Thornton",18.568295995671,0.0772727272727273
"179","Speer",69.4011904761905,0.954545454545455
"180","Stapleton",58.1383333333333,0.831818181818182
"181","Sullivan",88.3083333333333,1
"182","Summer Valley Park",37.3877976190476,0.445454545454545
"183","Sun Valley",19.05,0.0863636363636364
"184","Sunnyside",21.1125,0.131818181818182
"185","Todd Creek and East Thornton",42.6148148148148,0.55
"186","Twin Lakes, Berkely, and West North Washington",20.1906957328386,0.109090909090909
"187","University",56.5166666666667,0.809090909090909
"188","University Hills(Boulder County)",43.9416666666667,0.563636363636364
"189","University Hills(Denver County)",59.3833333333333,0.845454545454545
"190","University Park",67.45,0.936363636363636
"191","Utah Park",23.8756385281385,0.190909090909091
"192","Van Aredale and Harvest",56.7333333333333,0.818181818181818
"193","Villa Park",20.8875,0.122727272727273
"194","Virginia Village",38.9380952380952,0.5
"195","Walnut Grove, Westbrook, Countryside and Crownpoint",44.525,0.586363636363636
"196","Washington Park",48.1479166666667,0.663636363636364
"197","Washington Park West",44.3088888888889,0.577272727272727
"198","Washington Virginia Vale",37.2145833333333,0.440909090909091
"199","Wayside Meadows Park",51.0950892857143,0.709090909090909
"200","Welby and East North Washington",28.2410714285714,0.281818181818182
"201","Wellshire",80.0083333333333,0.986363636363636
"202","West Boulder including Ward and Jamestown",40.22,0.518181818181818
"203","West Brighton",27.9092857142857,0.272727272727273
"204","West Centennial",62.9869444444444,0.9
"205","West Colfax",18.4416666666667,0.0727272727272727
"206","West Erie",55.8583333333333,0.795454545454545
"207","West Greenwood Village",45.05,0.604545454545454
"208","West Highland",34.5425925925926,0.404545454545455
"209","West Niwot",57.6291666666667,0.827272727272727
"210","West Northglenn",32.6666666666667,0.368181818181818
"211","West Pike National Forest",66.5,0.927272727272727
"212","Westminster Center Park",19.0983333333333,0.0909090909090909
"213","Westwood",16.2471428571429,0.0363636363636364
"214","Westwoods Park",73.525,0.972727272727273
"215","Whisper Creek",68.075,0.940909090909091
"216","Whittier(Boulder County)",50.05,0.677272727272727
"217","Whittier(Denver County)",24.7875,0.222727272727273
"218","Wonderland, Boulder Meadows, and Catalpa Park",44.8039682539683,0.6
"219","Wyco Park, Northeast Northglenn",53.7733333333333,0.731818181818182
"220","Yankee Doodle Park, Ralston Vally and Apex",50,0.672727272727273
